,0
L0,-5451.915333699458
LL,-1705.543258779048
Lv,0.0
b0_crosswalk_g,-2.0
b0_length_g,-2.0
b0_sky_l,0.1
b0_vegetation_l,0.1
beta_crosswalk_g,-1.274872204724901
beta_length_g,-0.4204624507392544
beta_sky_l,2.0415534824265396
beta_vegetation_l,5.3773473943818875
mu_g,1.6559395294277601
runtime,68.97964525222778
se_crosswalk_g,1.810783113948842
se_length_g,0.9291484314254999
se_mu_g,0.20921587643393988
se_sky_l,6.628904743522856
se_vegetation_l,9.512861687098175
t_crosswalk_g,-0.7040446726636079
t_length_g,-0.45252452301316465
t_mu_g,3.1352282656946144
t_sky_l,0.30797749574261934
t_vegetation_l,0.5652712686525148
