,0
L0,-5451.915333699458
LL,-1700.515989330862
Lv,0.0
b0_crosswalk_g,-2.0
b0_greenlen_g,0.0
b0_length_g,-2.0
b0_sky_l,0.1
b0_vegetation_l,0.1
beta_crosswalk_g,-1.1939061233873356
beta_greenlen_g,0.18076362322972056
beta_length_g,-0.41172101124882043
beta_sky_l,1.7393701900194627
beta_vegetation_l,3.8958956120278305
mu_g,1.527014719225624
runtime,84.28876280784607
se_crosswalk_g,0.7193913913999218
se_greenlen_g,0.05980053384279133
se_length_g,0.1730589972989316
se_mu_g,0.8638379199804181
se_sky_l,4.522275926435226
se_vegetation_l,4.894635548445993
t_crosswalk_g,-1.659605796872294
t_greenlen_g,3.0227760793060336
t_length_g,-2.3790789134045345
t_mu_g,0.6100851873202912
t_sky_l,0.3846227471110008
t_vegetation_l,0.7959521344269944
