,0
L0,-1748.6567816091087
LL,-1721.1158523430674
Lv,0.0
b0_crosswalk_g,-0.9
b0_greenlen_g,0.1
b0_length_g,-0.3
b0_vegetation_l,0.1
beta_crosswalk_g,-0.9038075836275882
beta_greenlen_g,0.1999989718659002
beta_length_g,-0.31372060819638703
beta_vegetation_l,2.123316984291345
mu_g,1.0
runtime,51.81252384185791
se_crosswalk_g,1.168739542955031
se_greenlen_g,0.9117079449557154
se_length_g,0.24990680336177595
se_vegetation_l,15.914662275462424
t_crosswalk_g,-0.7733182205356113
t_greenlen_g,0.21936736755717842
t_length_g,-1.2553504105377693
t_vegetation_l,0.1334189156853879
