,0
L0,-1785.4393947309964
LL,-1721.115852342839
Lv,0.0
b0_crosswalk_g,-0.791
b0_greenlen_g,0.049
b0_length_g,-0.266
b0_vegetation_l,0.1
beta_crosswalk_g,-0.9038077534820605
beta_greenlen_g,0.19999944910902057
beta_length_g,-0.3137207489754467
beta_vegetation_l,2.1233037928146272
mu_g,1.0
runtime,54.24653911590576
se_crosswalk_g,0.5964432684525675
se_greenlen_g,0.19203206060161956
se_length_g,0.050107085401678325
se_vegetation_l,2.7011021323710493
t_crosswalk_g,-1.515328952956297
t_greenlen_g,1.0414898870659404
t_length_g,-6.261005733231865
t_vegetation_l,0.7860879332803213
