,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
L0,-1733.4011388303566,-1803.8115313648757,-1665.2398254138548,-1851.6130048918621,-1614.7011087924775,-1629.1600796782766,-1734.7393435699062,-1636.990560212608,-1657.910833580573,-1594.970934545697,-1724.7319950516537,-1626.4188263955632,,-1669.0681450586244,-1654.976195392535,-1560.6732900570735,,-1648.4491669467607,,-1620.3158676288308,-1552.8300158013915,-1739.246122875466,-1773.49086356741,-1808.0120888249858,-1628.8303904425384,-1855.0322676067594,-1739.8159506956056,-1862.8286493986116,,-1766.3726048587175,,-1541.2037411747403,-1636.9738348432284,-1864.3328307222441,-1803.0953030046496,-1555.970492448832,-1712.1154686775164,,-1734.6875960320488,-1799.4356428976155,-1641.5299507389298,,-1945.8319071087642,,-1808.769174625853,-1833.6437093765846,-1536.2583996681442,-1649.680937282466,,-1615.1565124534695,-1686.4527344094222,-1607.8270562888833,-1778.7910689454923,-1744.7087101538486,-1845.2239364967181,-1574.5855882909186,-1897.0641447926444,,-1949.186669460256,-1895.9602420452482,-1889.5510121174125,-1630.6780631251008,-1554.907094123678,-1868.1478871501652,-1776.6161846807918,-1873.1600492599202,-1747.7790848264035,-2044.3604390078651,-1790.6444109275612,-1584.5970240329361,-1919.1802719192956,-1819.8779617749885,-1863.4557897286927,-1678.0050246820429,-1612.0416714089547,-1748.48080244441,-1961.849652813796,-1537.3850563434485,-1593.6764464797811,-1629.7180361616631,,-1571.7387076257733,-1719.0296282557904,-1706.8193238029692,-1770.8439277333498,-1610.6997227255533,,,,-1632.1139301381509,-1504.9914106001715,,-1781.190973887217,-1802.733915957529,-1745.7018538775794,-1630.9723381534047,-1776.1832472846643,,-1599.9449058742975,-1610.968664357329,-1940.055113036226,,-1697.5947926141912,-1713.4116659427011,-1670.4654455989948,-1791.054873477135,-1671.9777933386779,-1887.3869858638968,-1608.4625363563482,-1747.6950598107394,-1687.875370660919,-1752.0764949689794,-1650.893973559391,-1756.7787636852806,-1703.2321667039803,-1774.014052482417,,-1820.7038742406821,-1677.275013858628,-1789.1344672811838,-1823.2992981870018,-1748.495568875802,-1696.3168844807303,-1790.9107198737508,-1681.3730115571739
LL,-1732.8294985308949,-1802.9410269358018,-1658.0821698797574,-1850.9882762819796,-1610.247789716764,-1628.1338337437764,-1732.2509068689749,-1633.113093782795,-1653.3164669133698,-1591.9616978113283,-1723.517085455979,-1623.4303944338294,,-1666.7219125339518,-1650.045050547702,-1553.5634650795575,,-1647.1620363238137,,-1617.5049037317665,-1547.4959914268686,-1738.9709002183258,-1766.4884203260451,-1803.5938251605032,-1626.0664770000315,-1854.1890534197255,-1738.3676058768433,-1859.452658136151,,-1763.1900920695618,,-1530.5676711027393,-1635.7455201588136,-1862.7869552918035,-1802.5995677058816,-1544.2999858877636,-1700.7313296406999,,-1732.6031400535887,-1797.8360588185874,-1638.8206539315463,,-1943.2754070030414,,-1807.6113640142037,-1827.2111876798,-1532.3658500332656,-1647.6025609728622,,-1612.5075880083468,-1685.5295755816244,-1596.430633028359,-1775.6807264233128,-1742.3170670350976,-1844.503686585502,-1570.784656069811,-1895.38804136068,,-1946.3868197984561,-1889.8427125470912,-1888.6060921142282,-1624.4101276125289,-1549.6578665970649,-1862.0149158291536,-1775.6760150978976,-1871.8054506490744,-1746.1011382006607,-2041.1566962451386,-1788.2366941512662,-1582.5659917462854,-1915.3055350455593,-1818.150343446815,-1861.138370691788,-1675.1436630454002,-1605.0289794200485,-1742.774902767036,-1957.2606607373214,-1534.1657809597132,-1587.5398319082585,-1618.6493401472414,,-1562.3773865792036,-1713.3137183784502,-1702.416211422306,-1766.447262688086,-1607.7276733485974,,,,-1630.4688851769179,-1500.7330587349038,,-1778.433462460979,-1801.1806039733672,-1745.6208822437268,-1629.1279440962269,-1774.8548190810895,,-1597.4355048854309,-1608.828363372138,-1938.1343084998675,,-1692.554896288069,-1712.462615324103,-1659.3829618102639,-1786.970577725028,-1670.135092188002,-1885.5575061319112,-1604.607850248094,-1747.175244308828,-1683.1974498531529,-1749.4535244124804,-1649.0582216871378,-1756.5493465081456,-1700.3460491385724,-1771.1247381616586,,-1815.902445898597,-1676.9855387960085,-1785.30492637397,-1822.4614535273513,-1748.401680421971,-1694.9459679705305,-1788.951654478418,-1677.2418286152065
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runtime,17.09785008430481,12.0381498336792,19.562535047531128,15.282064199447632,17.687763929367065,12.606482982635498,17.19471788406372,12.100909233093262,15.526124715805054,15.889051914215088,13.069215059280396,20.280743837356567,,14.470476627349854,18.299095153808594,17.08759903907776,,12.728972673416138,,17.063594818115234,17.938047885894775,10.401443004608154,17.59150791168213,19.009417057037354,17.466609001159668,15.975833177566528,15.624472856521606,18.646341800689697,,18.039897918701172,,22.696770191192627,16.019205331802368,17.41060209274292,19.988581895828247,23.566102981567383,23.48628306388855,,19.345123052597046,17.897865056991577,23.73861813545227,,26.63382387161255,,17.513803005218506,11.953501224517822,23.49207615852356,18.22476291656494,,19.403963088989258,16.732266902923584,18.98931097984314,20.007254123687744,14.520287990570068,14.205857038497925,22.054515838623047,14.376934289932251,,12.958089828491211,16.653603076934814,14.386162042617798,15.278568029403687,20.304282188415527,18.34713077545166,16.89201307296753,17.815524101257324,14.716495990753174,17.94072198867798,16.922356843948364,16.947057247161865,17.46217703819275,17.701967000961304,19.46484398841858,22.102209091186523,23.196325063705444,19.490145921707153,19.591134786605835,20.44267511367798,20.049309968948364,20.1040678024292,,25.397159337997437,22.56685161590576,20.78545880317688,15.186206817626953,17.93862509727478,,,,15.967221021652222,23.44175696372986,,17.687689781188965,17.7985680103302,17.466931104660034,19.094844341278076,19.43289613723755,,20.563211917877197,17.55857276916504,18.358757257461548,,13.161205053329468,17.381068229675293,21.495113134384155,20.52385115623474,19.47849702835083,17.364441871643066,16.30885887145996,12.522013902664185,21.715458154678345,19.22411608695984,18.525267839431763,15.79463505744934,16.834181308746338,18.543174028396606,,18.773441076278687,17.422710180282593,21.613643884658813,13.628527879714966,13.526072025299072,20.77846598625183,18.161316871643066,24.036134958267212
beta_length_g,-0.3242396707953836,-0.3275420630806882,-0.3483177131815796,-0.3132961493100126,-0.3329045055736129,-0.32112081520488944,-0.3315179253878951,-0.3302249240518518,-0.3410105450261788,-0.3371056707849853,-0.3184775178397144,-0.3278406659681169,,-0.3199722242211441,-0.33701510614127633,-0.34226456168194463,,-0.322629973095987,,-0.3302699609395639,-0.34415044605891,-0.32501584152558916,-0.3341934025585352,-0.3335792004397709,-0.33556756957145184,-0.31582038395863055,-0.32725357823941903,-0.31672045637761015,,-0.3153623380503827,,-0.3456665225255919,-0.3266224973704285,-0.3194740440108556,-0.32412649952263634,-0.32521657313210456,-0.3225818317493925,,-0.3327761778071096,-0.3231364035928224,-0.33454302577143324,,-0.32705234001038525,,-0.3220459568392252,-0.30081879006043544,-0.3319295801815925,-0.3245599199735288,,-0.33503938666486,-0.3250759473280249,-0.31830266471849605,-0.33355101649175517,-0.3336041889119443,-0.3247262371379151,-0.3399564235842731,-0.32322485471336476,,-0.31096087058550204,-0.3134270382325827,-0.3181426118946526,-0.33807982635382694,-0.3425010372344724,-0.32025030869283316,-0.3257000743442296,-0.31081929110667444,-0.3237918169556474,-0.30610960251337327,-0.3177758658625868,-0.3182285977442296,-0.3108313356694023,-0.3216785767815736,-0.3288541491959528,-0.3328890822935827,-0.33255936415988385,-0.3132586835241785,-0.30549647022799953,-0.32586296810334153,-0.3447351979247121,-0.3528122442523997,,-0.34955858111832677,-0.32585888202879687,-0.32883921581166214,-0.3178776200651375,-0.3271910807945165,,,,-0.322823413618325,-0.3376527872734001,,-0.3105256871182405,-0.3131627970321102,-0.3175939219767671,-0.33335679749468833,-0.3261827894924799,,-0.335844302764576,-0.3207964034668545,-0.3120492382148663,,-0.31949232237681946,-0.32181707922672953,-0.33925670791368634,-0.31493753191764373,-0.32730051027926343,-0.3087254081787506,-0.33567925245300134,-0.32497579265775706,-0.34138484236982064,-0.3317243617975994,-0.3221453038906584,-0.3202614818860641,-0.3216948799036224,-0.31129544450178465,,-0.3169197041143707,-0.3159579240690871,-0.31979481745246896,-0.31986234804254704,-0.3228087615716986,-0.33155276893755736,-0.3104362699925765,-0.3315884984112977
se_length_g,0.06350491741017714,0.009243242461464081,0.2921033482495277,0.019219065783873165,0.08299001530523965,0.02862498216697526,0.1225451708920312,0.057804111927095676,0.010495964584867734,0.014521940670440528,0.01167103995425679,0.09619960105333136,,0.029836452159265933,0.08983259842574884,0.1377489865430514,,0.028754626279580725,,0.05460172324852269,0.04361569711978027,0.04831966670310102,0.06611476129475724,0.22149185076238828,0.026902518929034135,0.008755790709284447,0.01341948314818381,0.00765720092710821,,0.011288437621818668,,0.06681751786904444,0.0426609056863587,0.012237806285547612,0.05254318539572688,0.05406728232055814,0.09138976936457668,,0.03177229802255056,0.0076539138626207336,0.14700619103660026,,0.2242864237080966,,0.03981230940460208,0.020004198577973413,0.10429382704840834,0.06013018722718166,,0.026423698293998123,0.049972454318843874,0.02382655081424197,0.38186429011640555,0.011330260474891904,0.06522740265167103,0.021496077156367064,0.04676147035183274,,0.017288770225873506,0.007576449646886217,0.01056239962515521,0.008561349592988623,0.10890592073414747,0.008434783154636857,0.018003136795904092,0.026629820704781145,0.03180853299679896,0.00850559823555174,0.012143490041954523,0.016768731679104212,0.022826224225768226,0.027354450342842618,0.025724817624141156,0.44761085324933914,0.18856819176318157,0.018064816894284703,0.020624643249455003,0.06953918292257037,0.04389519729744773,0.023247059362069496,,0.31156246889399664,0.1607927786638069,0.0369082654685714,0.01592057394900976,0.03698745678170651,,,,0.016869719088067916,0.1483301519458471,,0.017774966142527632,0.012925394960633153,0.009008100338163247,0.019005895419556596,0.048936885594464755,,0.023599739290774673,0.02406149816901255,0.020059542232763954,,0.007325907006594512,0.0163359476050353,0.3207820876675315,0.008893067663007325,0.02786001872211803,0.006410037773118423,0.007906894623228676,0.01756944533209793,0.3043297289430389,0.046783573571730526,0.02376418833430791,0.006807876086852601,0.029524320135410027,0.018903450345203097,,0.011311954715785453,0.009327015712344362,0.007430009061787822,0.02073689912600135,0.022375016938720144,0.028800835332058183,0.012138454254981789,0.10713479640160149
t_length_g,-5.105741161761149,-35.43584023098397,-1.1924468352346003,-16.301320409283438,-4.011380216634262,-11.218201406440267,-2.7052712316177683,-5.71282756611401,-32.48968136933515,-23.21354138783705,-27.28784402143665,-3.4079212634818288,,-10.724204825464623,-3.7515903140644014,-2.4846974941262086,,-11.220106634635465,,-6.048709478203139,-7.890518065406168,-6.726367620096406,-5.0547471701306135,-1.5060563144493633,-12.473462817985258,-36.06988728313728,-24.386451745252906,-41.36243248578585,,-27.93675693798758,,-5.173291878382301,-7.656248551583603,-26.105499348207726,-6.168763790803521,-6.015034586054026,-3.529736796495598,,-10.473783720992415,-42.21845311990212,-2.2757070529644685,,-1.458190534243107,,-8.089105145003181,-15.037782637874153,-3.182638796326136,-5.397620312527691,,-12.6795039413904,-6.505102696255676,-13.359158327198383,-0.8734805142163914,-29.443646918022605,-4.978371419632116,-15.814812214868663,-6.912204690772656,,-17.98629205680191,-41.3685898858175,-30.120296825067115,-39.48908086065073,-3.144925775620215,-37.96781764529202,-18.09129586896934,-11.671850687709274,-10.179401137054388,-35.98919135798055,-26.168413262143215,-18.977499541052318,-13.61729091044803,-11.75964322989008,-12.783536661007984,-0.7437019899697309,-1.763602657745891,-17.34081697906866,-14.812206278335124,-4.686033893527041,-7.853597184873721,-15.176639709883363,,-1.1219534315516597,-2.026576595893762,-8.90963613805367,-19.966467357472943,-8.84600103017466,,,,-19.13626492136793,-2.2763597477920174,,-17.469832832777662,-24.228489573116292,-35.256481395002375,-17.53965230976029,-6.665376955033984,,-14.230848003302317,-13.332353671975012,-15.556149516970798,,-43.611299200116,-19.699933362147565,-1.057592430987925,-35.41382387403795,-11.748036264577957,-48.162806383675736,-42.45399343844185,-18.496644971714222,-1.1217597556291232,-7.090616138781827,-13.555914443986428,-47.04278952793434,-10.895928455869752,-16.467652138477373,,-28.016351910613636,-33.87556468366564,-43.040972735438274,-15.42479162863273,-14.42719629914896,-11.511915023121093,-25.574613000264772,-3.0950588375444097
b0_length_g,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,,-0.32,-0.32,-0.32,,-0.32,,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,,-0.32,,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,,-0.32,-0.32,-0.32,,-0.32,,-0.32,-0.32,-0.32,-0.32,,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,,-0.32,-0.32,-0.32,-0.32,-0.32,,,,-0.32,-0.32,,-0.32,-0.32,-0.32,-0.32,-0.32,,-0.32,-0.32,-0.32,,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32
beta_crosswalk_g,-0.9196881526454879,-0.9196400761493237,-0.8858540514507697,-0.9221717251619348,-0.9535231212285572,-0.9389596811508063,-0.8468727668344674,-1.034750775943819,-0.8786795178170348,-0.9260212490579542,-0.9185605428801558,-0.9251477969542358,,-0.9677169740252576,-0.9340000392706652,-0.9816426451365161,,-0.8474501773801405,,-0.8304380721757638,-0.9312621389348693,-0.9038753704271105,-0.9644717462866537,-0.9339972119387586,-0.9371124730523296,-0.932968257350992,-0.9302012506089912,-0.8803293173229535,,-0.7967903999525896,,-0.8022680165275016,-0.9710213835883764,-0.9225037143239158,-0.9074565481222102,-0.9736665849317541,-0.9939097540015545,,-0.834872695038318,-0.8064672300314003,-0.9291369518088073,,-0.9155028168380097,,-0.9384131131264482,-0.8984942392482742,-1.0331592874631759,-0.9839212263924774,,-0.9316581629624816,-0.9125627642077756,-0.9341212272428521,-0.9431494396490353,-0.9231410204619055,-0.8727376277780738,-0.9330664646723941,-0.976678222977741,,-0.9162007675183865,-0.8463658111653173,-0.832899003662838,-0.992050147716394,-0.9499297983633734,-0.9154490045961848,-0.9132975245292555,-0.8641500376420619,-0.9946835403560271,-0.9416342376403569,-0.9203784719215716,-1.0175641050470023,-0.7988344014402563,-0.8744146321597722,-0.8717612292968406,-0.9098718157212272,-0.9048971367912007,-0.9293178939783641,-0.9986998428651171,-0.985615234889222,-0.925700568981145,-0.8362768702584611,,-0.9300502102281549,-0.9049804199162139,-0.8923576353406069,-0.8349509900061912,-0.9938688307885027,,,,-1.0053138651638829,-0.9956900300193718,,-0.8682450683053446,-0.9736215535624002,-0.9043493838075203,-0.9117668701614621,-0.8805213330707051,,-0.9320747083929406,-0.8826328764544586,-0.8316027926345818,,-1.0907113238100767,-0.89215717135269,-0.9100742743239225,-0.9062232829348631,-0.9733721732640841,-0.8772046891558051,-0.9729356727029053,-0.9009087863873995,-0.9062856839008944,-0.8613925323542728,-1.0071110053750811,-0.9367701450875289,-0.9686980613185604,-1.0243835918375737,,-0.9160080020775636,-0.913193884925739,-0.8929562284456979,-0.9520966240265676,-0.9037587912311628,-0.9011140432331306,-0.8949411984998324,-0.8594312339603897
se_crosswalk_g,0.3652564294927721,0.1518556347152766,0.27133948083871245,0.19371899942238455,0.524570929864536,0.09486930867092519,0.5615384758639214,0.11755560267931653,0.33158076474149395,0.3614550927959808,0.16439045725394,0.43116223002977366,,0.14872863672396497,0.8443534168775739,0.1789877922618625,,0.0959631160108356,,0.2994421750762117,0.37929317260867634,0.059610935218056986,0.25367538537086204,0.17573930001339785,0.32989499294034896,0.26248318114967334,0.19662904300030154,0.2762505798343989,,0.23570793245413213,,0.4740855833265591,0.1111519566226177,0.17387121136788286,0.4086597886822717,1.3138943395269012,1.2066019094469613,,0.21459475188327667,0.7383991572912275,0.6905356135747045,,0.7555054229100535,,0.1980289810233067,0.9995836950925593,0.7967802634257776,0.4601781186194598,,0.3587593816149754,0.37251044999576227,0.15853975835466183,0.8243401097369683,0.3233794652884805,0.19013269492846133,0.19708075270601688,0.183891711656334,,0.2335712168933254,0.11808008138405134,0.054423698966236,0.3072805007688275,0.5507578575988268,0.37019060139051124,0.2708987762883699,0.16524904786309932,0.4508849025358516,0.2928679542761662,0.291927531667387,0.34189540702883336,0.19657723296975324,0.18475113977024743,0.1748833933986972,0.5690634614147261,0.612330314708702,0.22389421991141364,0.2677578501121891,0.16047307059210808,0.546173831028616,0.11222499841825116,,0.8367087243076411,0.9302298730477734,0.3322887777533728,0.17092674355200516,0.45657618867636657,,,,0.4683095077481507,0.46221437017634437,,0.2940390085770819,0.23534385485711568,0.33703516938328665,0.32631909110934626,0.2601610970770206,,0.37852527735864994,0.3100247247095963,0.19721316371660916,,0.07673490419866459,0.2713374251195607,0.31083630882962615,0.38468182093853237,0.5919927871515487,0.28052518255124337,0.2932815598049701,0.9986075662335878,1.0652861813630754,0.3423883137843049,0.1022093659090601,0.055655990344857145,0.3848187591697636,0.40447305200892714,,0.35644937798098314,0.33983716360989313,0.341980968194704,0.24801060669990793,0.06216890215290448,0.3581942951647894,0.2727394885189026,0.3029048785100667
