,0
L0,-5523.078044116457
LL,-1706.6630330464955
Lv,0.0
b0_crosswalk_g,-2.54
b0_length_g,-2.0
b0_vegetation_l,0.1
beta_crosswalk_g,-1.2709465592637372
beta_length_g,-0.4222750423913278
beta_vegetation_l,5.434944261937789
mu_g,1.6644847710337143
runtime,124.43088579177856
se_crosswalk_g,1.3008125123875764
se_length_g,0.0930808168941792
se_mu_g,0.24480426791077553
se_vegetation_l,0.20868763101097404
t_crosswalk_g,-0.9770405397861512
t_length_g,-4.5366495104077105
t_mu_g,2.7143512517351245
t_vegetation_l,26.04344222802542
