,0
L0,-5451.997219473893
LL,-1706.663033102003
Lv,0.0
b0_crosswalk_g,-2.0
b0_length_g,-2.0
b0_vegetation_l,0.1
beta_crosswalk_g,-1.2709285212040005
beta_length_g,-0.4222678518592384
beta_vegetation_l,5.4347440851720235
mu_g,1.6644430689700267
runtime,55.133424282073975
se_crosswalk_g,0.9420342556202426
se_length_g,0.14048225850135682
se_mu_g,0.8083714327991578
se_vegetation_l,19.818533036878975
t_crosswalk_g,-1.3491319595031195
t_length_g,-3.0058446978567046
t_mu_g,0.821952684138344
t_vegetation_l,0.27422534629878376
