,0
L0,-5451.915333699458
LL,-1692.2250986323022
Lv,0.0
b0_crosswalk_g,-2.0
b0_greenlen_g,0.0
b0_length_g,-2.0
b0_sky_l,0.1
b0_skylen_g,0.0
b0_vegetation_l,0.1
beta_crosswalk_g,-1.1365350132230199
beta_greenlen_g,0.19540748905165867
beta_length_g,-0.3998721502284015
beta_sky_l,-0.7309493422873408
beta_skylen_g,0.4547668375129813
beta_vegetation_l,3.232560976609214
mu_g,1.390653093707272
runtime,87.38830208778381
se_crosswalk_g,0.7545984211510001
se_greenlen_g,1.314869724815643
se_length_g,0.6475275712874077
se_mu_g,1.4910577869326476
se_sky_l,51.00946796419673
se_skylen_g,1.0220984379184388
se_vegetation_l,17.097379325860018
t_crosswalk_g,-1.506145495890975
t_greenlen_g,0.1486135739257793
t_length_g,-0.6175368709526604
t_mu_g,0.26199728617554796
t_sky_l,-0.014329679792002342
t_skylen_g,0.4449344805174927
t_vegetation_l,0.18906762931322005
