,0
L0,-1738.6368543680017
LL,-1721.1158523427764
Lv,0.0
b0_crosswalk_g,-0.9
b0_greenlen_g,0.2
b0_length_g,-0.3
b0_vegetation_l,0.1
beta_crosswalk_g,-0.9038076681879641
beta_greenlen_g,0.1999992233792463
beta_length_g,-0.313720766284585
beta_vegetation_l,2.1233092912495795
mu_g,1.0
runtime,43.93342304229736
se_crosswalk_g,0.2917639766033005
se_greenlen_g,1.1303044924368482
se_length_g,0.1927183726246028
se_vegetation_l,6.466232758987897
t_crosswalk_g,-3.0977356379291274
t_greenlen_g,0.17694278375206987
t_length_g,-1.6278716035843839
t_vegetation_l,0.3283688308773349
