,0
L0,-5677.4765304854245
LL,-1777.084977065616
Lv,0.0
b0_crosswalk_g,-2.0
b0_length_g,-2.0
b0_vegetation_l,0.1
beta_crosswalk_g,-1.1801732552905821
beta_length_g,-0.3992327461262903
beta_vegetation_l,2.969587018106404
mu_g,1.5584403600334211
runtime,230.93112802505493
se_crosswalk_g,1.6776525994706182
se_length_g,0.24952970210445086
se_mu_g,2.335490076444184
se_vegetation_l,9.563811147350236
t_crosswalk_g,-0.7034670084038762
t_length_g,-1.5999407796318175
t_mu_g,0.23911056855512497
t_vegetation_l,0.3105024735802277
