,beta_len,se_len,beta_capG,se_cap,beta_capL,L0,LL,runtime
0,-2.4108763275027774,0.37293556556877017,0.561070972822013,0.15757118290669517,-0.012899758937745531,-1366.322168256689,-476.3882442943185,1.9768879413604736
1,-2.6787082822590675,0.4921032909495905,0.6181622491069411,0.5857210141980831,-0.1549351243420155,-1294.0452159043675,-420.0756911542339,2.2657439708709717
2,-2.542136558621992,0.711400108066478,0.4695639610269661,0.3996511384208616,-0.07707113825031764,-1324.1139331316097,-419.56634418054495,1.932509183883667
3,-2.8094410743364575,0.2849935785440428,0.6215713323516459,0.3087662720206695,-0.038348980800394346,-1278.8833631773384,-391.594276467689,2.07165789604187
4,-2.3739509030546713,0.25384157345119623,0.48701255551851047,0.433780711932709,-0.12852111599688482,-1398.3767136963095,-447.02700027871737,1.9246177673339844
5,-2.5139862661971297,0.2355881647283278,0.490087360304807,0.3762127763481424,0.02996590256279754,-1228.3283870230011,-432.0711651709216,1.853855848312378
6,-2.433242353087606,0.4280448609131118,0.5471026992407811,0.12454321448555135,-0.0258474698214781,-1378.1281771782824,-450.01578183915547,1.977999210357666
7,-2.213820870837341,0.27219564238115634,0.36500349665151277,0.11951368214418627,-0.06722544306582573,-1396.202237094243,-478.60134867769773,1.9333579540252686
8,-2.829074755756713,0.5118742497067172,0.6797059587113098,0.26395326834515925,0.016132260703318357,-1226.695434542493,-392.5194763029609,2.182183027267456
9,-2.217399807531024,0.31568504015051635,0.4002386967240603,0.1692149057940962,-0.08715159405317253,-1355.5471584494833,-469.7758667771004,1.8583827018737793
