trip_idx,distance
0,113.914
1,199.252
2,250.28500000000003
3,569.025
4,107.761
5,134.82000000000002
6,2339.797000000001
7,521.026
8,154.748
9,264.293
10,221.03700000000003
11,1054.044
12,389.461
13,1004.217
14,482.15
15,138.757
16,918.9059999999998
17,817.1120000000001
18,231.97000000000003
19,192.131
20,202.80599999999998
21,114.975
22,1059.719
23,131.384
24,258.725
25,374.756
26,1109.5759999999998
27,310.662
28,114.575
29,260.362
30,183.097
31,143.823
32,358.005
33,289.64799999999997
34,1307.589
35,142.829
36,162.85900000000004
37,121.692
38,706.966
39,1047.1360000000002
40,252.34899999999996
41,941.68
42,260.669
43,282.855
44,654.308
45,347.013
46,527.767
47,212.25499999999997
48,254.577
49,197.144
50,515.2040000000001
51,622.79
52,254.734
53,260.19100000000003
54,407.25100000000003
55,228.22
56,212.543
57,523.7719999999999
58,957.1959999999999
59,254.734
60,1108.1799999999998
61,223.767
62,402.45899999999995
63,427.112
64,1200.0300000000002
65,338.36899999999997
66,811.032
67,748.891
68,186.66299999999998
69,322.009
70,1625.9859999999999
71,553.8900000000001
72,579.3130000000001
73,434.342
74,1096.331
75,509.127
76,391.393
77,1419.9160000000002
78,490.91700000000003
79,577.163
80,468.831
81,818.877
82,884.6000000000001
83,1335.8929999999996
84,238.517
85,100.952
86,1194.183
87,216.024
88,1510.2620000000002
89,157.558
90,1424.243
91,396.698
92,122.89800000000001
93,481.07
94,936.687
95,1345.631
96,478.326
97,1595.5480000000007
98,359.139
99,340.496
100,336.347
101,1311.6420000000003
102,1325.5860000000005
103,858.622
104,266.905
105,174.767
106,788.7579999999999
107,216.827
108,390.204
109,521.0260000000001
110,131.38400000000001
111,126.15700000000001
112,286.75699999999995
113,121.88499999999999
114,110.664
115,1219.8839999999998
116,1469.699
117,1654.443
118,122.89800000000001
119,361.678
120,673.904
121,181.907
122,1047.647
123,1036.4509999999998
124,333.04699999999997
125,448.196
126,712.8889999999999
127,260.13199999999995
128,396.31100000000004
129,130.40300000000002
130,111.905
131,163.202
132,110.664
