,0
L0,-1738.4696630644646
LL,-1689.605895265162
Lv,0.0
b0_crosswalk_g,-1.2
b0_greenlen_l,0.0
b0_length_g,-0.3
b0_sidewalklen_g,0.1
beta_crosswalk_g,-1.0445219851893712
beta_greenlen_l,0.12296880851474351
beta_length_g,-0.37065997851735727
beta_sidewalklen_g,0.07887738355829917
mu_g,1.280068225712249
runtime,39.09021329879761
se_crosswalk_g,1.6148693139219625
se_greenlen_l,0.57129251497045
se_length_g,0.4064000192997184
se_mu_g,1.367412788131739
se_sidewalklen_g,0.04335787480818536
t_crosswalk_g,-0.6468151795222279
t_greenlen_l,0.21524666487378022
t_length_g,-0.9120569904402416
t_mu_g,0.20481615218393498
t_sidewalklen_g,1.819217014377472
