,0
L0,-1738.4696630644646
LL,-1671.430127210979
Lv,0.0
b0_crosswalk_g,-1.2
b0_greenlen_g,0.0
b0_length_g,-0.3
b0_sidewalklen_g,0.1
b0_vegetation_l,0.0
beta_crosswalk_g,-1.156445899825214
beta_greenlen_g,-0.12455747762107262
beta_length_g,-0.3899430446540155
beta_sidewalklen_g,0.08852251866061352
beta_vegetation_l,3.9525770364982717
mu_g,1.4327023157309455
runtime,77.79304313659668
se_crosswalk_g,0.8618397399870512
se_greenlen_g,1.0915643047554664
se_length_g,0.08330737004310651
se_mu_g,1.1286909171360018
se_sidewalklen_g,0.2001689485832348
se_vegetation_l,8.603896639756865
t_crosswalk_g,-1.341834039635477
t_greenlen_g,-0.11410915241404504
t_length_g,-4.68077487564718
t_mu_g,0.3833665259120775
t_sidewalklen_g,0.442239015027867
t_vegetation_l,0.4593938307248152
