,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
L0,-1738.4696630644642,-1831.4705252402002,-1660.4510034069854,-1874.70132932493,-1600.9857260029164,-1626.0932361135608,-1755.7949521937367,-1648.263827168872,-1645.2514044290683,-1606.0503843978413,-1724.5398186504624,-1643.088394726731,-1818.9628364994173,-1673.5548536876252,-1655.9410351289448,-1563.655175404717,-1784.6049262284782,-1658.137101937901,-1816.8690840717243,-1629.5274252252746,-1551.64714762057,-1744.8176060705969,-1802.8028901225737,-1805.2287006134718,-1637.8897680377513,-1872.3683774607312,-1742.8750310476116,-1866.0559597587476,-1719.2868057150174,-1762.4324782794877,-1732.3624147216567,-1558.933384483465,-1666.556345155172,-1860.0425389266497,-1806.2193936630708,-1571.9982212068926,-1728.9005026896398,-1642.1627695213601,-1730.3016372665209,-1806.5088957607747,-1657.7158150417065,-1733.902623042528,-1937.8573617418685,-1815.1579966921997,-1825.5252364977723,-1865.9145695691748,-1516.9349986537288,-1656.2560012558038,-1763.9468480586925,-1617.3600807593803,-1702.2456305232931,-1602.9711839199065,-1798.6388697498178,-1755.5892501015373,-1844.6115950285293,-1577.6749187247983,-1874.8409952920695,-1663.342440295782,-1936.1345953277091,-1877.6185155249705,-1884.349899163781,-1593.3440463305642,-1563.321175296625,-1874.7027483614177,-1783.7654125133342,-1851.9475955214482,-1740.43201615504,-2038.4255823665424,-1810.4228699188916,-1555.8088252054695,-1965.1624937039742,-1840.6666399569742,-1870.756108064553,-1667.2774116160685,-1620.44566981066,-1784.7811811664556,-1932.1939180151894,-1552.1679825328604,-1617.2031430920788,-1622.970415115837,-1790.3164472893118,-1573.9319488396902,-1713.356136168952,-1738.335483771755,-1767.4537296875617,-1586.5975871745386,-1889.7424708405358,-1929.5233719862022,-1640.9456819805694,-1609.57343696742,-1518.5381333619061,-1649.9191743684246,-1803.3740832108617,-1782.047245953046,-1743.3085745880248,-1635.655849218931,-1806.7954461882425,-1730.036073296883,-1596.7471090849544,-1647.1230034800496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL,-1688.4873963160267,-1773.338381191576,-1596.7024759027631,-1814.6604850588374,-1547.4972185077688,-1581.2479286688063,-1691.3039076438743,-1596.0947548592148,-1596.2535019459663,-1558.3919595050043,-1675.789034401294,-1584.0157905417589,-1772.9441063119175,-1628.8803584785283,-1604.8892428321121,-1515.7645450714992,-1724.6015832467938,-1609.6669564987344,-1776.2902821969278,-1557.6393269182831,-1490.922993672618,-1701.2831604671399,-1736.4507125452942,-1739.8175897962244,-1585.4933649994366,-1818.3641561284815,-1694.6379630309348,-1781.2674067448877,-1689.1613480782248,-1704.079856409333,-1696.5527237336757,-1488.387995758469,-1600.6508495368842,-1806.2110860031462,-1755.538005121915,-1500.776533724933,-1659.3291384118786,-1611.262850543839,-1658.3355799759156,-1751.1921720139376,-1599.943151029409,-1696.780381728172,-1875.4563598053767,-1771.3362300172491,-1766.86268207567,-1793.9121340508545,-1483.6643445125283,-1600.335229768803,-1713.619857273378,-1560.4474691816629,-1651.6136262169634,-1549.9958352233461,-1727.1748647648517,-1704.4267347849063,-1800.6296349572015,-1529.4799909976211,-1831.3048684775529,-1623.148830425896,-1884.4622533403242,-1825.3067086867688,-1840.7848677713969,-1558.7445761937172,-1498.2561557835515,-1806.252887710521,-1735.0128722666523,-1809.6036169929992,-1688.2792528160262,-1989.3798680209206,-1749.8480503768096,-1522.7588827846814,-1882.836082689246,-1782.4752819753057,-1806.9550696104398,-1625.2187697304819,-1561.5969736422132,-1700.2075244903017,-1900.4669872622915,-1480.9895898532332,-1553.744375818962,-1566.728935644354,-1750.7713416799925,-1518.5733510542339,-1658.8547485566314,-1663.8396181387382,-1717.1747219737642,-1555.4910102097954,-1827.4063625816889,-1873.6104854112573,-1615.8703297112002,-1573.0445258716875,-1451.4019504766427,-1608.2023778075172,-1744.2186478010397,-1729.831308180159,-1688.1494704302565,-1582.481050292134,-1745.6301036324062,-1689.0344086834698,-1541.9521425833595,-1576.2316366108055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runtime,30.846764087677002,22.294446229934692,27.045313119888306,24.37826180458069,28.14859414100647,29.601751804351807,27.98310899734497,26.094014883041382,22.89562177658081,26.669579029083252,26.152899026870728,26.281529903411865,33.61716985702515,23.078269004821777,24.493139266967773,26.83792519569397,22.96581482887268,21.598785877227783,27.252434968948364,26.35007619857788,27.734606981277466,21.014830112457275,32.931699991226196,23.255204916000366,28.970510959625244,26.277780294418335,26.40443706512451,25.684165000915527,26.749953031539917,28.65560793876648,22.33650517463684,26.214350938796997,26.270956993103027,29.14164090156555,26.06161093711853,19.491419076919556,28.25294589996338,26.92022705078125,22.72370481491089,23.684417009353638,27.76335620880127,25.248716115951538,27.476955890655518,26.154573917388916,26.183301210403442,21.894999027252197,26.451107025146484,25.707501888275146,26.23217010498047,28.915222883224487,26.182182788848877,22.49167013168335,27.19687294960022,27.043243885040283,35.370736837387085,30.476713180541992,27.839190006256104,28.613844871520996,23.88956308364868,25.914875268936157,22.95557403564453,23.23955512046814,28.50277876853943,30.424869060516357,28.93110990524292,24.032938957214355,21.20613980293274,26.73712992668152,22.587730884552002,27.974939346313477,23.38401198387146,23.79065489768982,25.35957407951355,26.6649489402771,24.776198148727417,20.40937900543213,24.698226928710938,24.201637983322144,23.779388904571533,24.95801877975464,24.099696159362793,24.56499719619751,31.96495294570923,24.671244859695435,23.78759217262268,28.547112226486206,24.01757788658142,22.14930486679077,23.32002902030945,28.51010513305664,26.82694387435913,26.698230028152466,24.60808300971985,26.04331064224243,30.091543674468994,24.90290117263794,19.962816953659058,26.036630868911743,23.982695817947388,32.115816831588745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_length_g,-0.33241566050282395,-0.33565995384703157,-0.3619052848974017,-0.3202659448171194,-0.34444832878002946,-0.3235819156791398,-0.34128994618019215,-0.3360199124750639,-0.3483482379732707,-0.34263561033026974,-0.32910514484685965,-0.33810260153837907,-0.32031056314547535,-0.32788528955646495,-0.3420658001800772,-0.3469350767433583,-0.32525304396447086,-0.3305698935561585,-0.3334232217444878,-0.34584185199168993,-0.3552760943254924,-0.3284678691963813,-0.3416934369369082,-0.34463151524181485,-0.3390258513373481,-0.3251664776908513,-0.3362144969199122,-0.33113937655824843,-0.32699699541545313,-0.3258075581731685,-0.3252387793425368,-0.3495867351618775,-0.33825494680690593,-0.3284600694884013,-0.330423915716696,-0.3361433085877331,-0.32875328602156045,-0.329082402038485,-0.35065852422020516,-0.3313552649251932,-0.3429154826199127,-0.3300605623542515,-0.3371032216343576,-0.31462533367219536,-0.32926678761021694,-0.3126193543121445,-0.3391043436604234,-0.33578331286603363,-0.3266100522923373,-0.3446979351538606,-0.3312651730042059,-0.3230223085500363,-0.3420821333061341,-0.3382297419167031,-0.3298533116355687,-0.3498265656857213,-0.3315606316365307,-0.3379445299612926,-0.3194083465656638,-0.3204154803727326,-0.3246405240696417,-0.3487512454103572,-0.3550200892498723,-0.33047678013049797,-0.3340362714154374,-0.3207533374904707,-0.33471134852205875,-0.31505298305069135,-0.3234959388036313,-0.3237640098089552,-0.3226352068326469,-0.33085371190312957,-0.3411599516721633,-0.33970958318392475,-0.3381321999572664,-0.3236030842963489,-0.31184663881837044,-0.3418752418719022,-0.3531793042273582,-0.3605776524213924,-0.3266797587219967,-0.35342655901744613,-0.33713921547402836,-0.3355105202313388,-0.3239314158815384,-0.3330108740679514,-0.3282552118066478,-0.32390893364030177,-0.3176696287799231,-0.3344026792337604,-0.3533127537145541,-0.33564700658758284,-0.3207467291627999,-0.3266556774749945,-0.3305124949126956,-0.3438810361264381,-0.3316963805664771,-0.3134140961821276,-0.3502324387626544,-0.33373721002677703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se_length_g,0.9684901844928829,0.16858129068426184,0.23789877988214694,0.09410894553522217,0.09032426374157035,0.4043359017336782,0.16473994327372377,0.06885765693998176,0.5078998509976215,0.3600080785735076,0.1139500528728638,0.018453828364488615,0.14106864368923347,0.2488363238711919,0.2653185429980525,0.22167662775341523,0.28708498096483315,0.35094192719124834,0.11325490162111058,0.06116528130237745,0.07901919196905625,0.2514190430134325,0.2620144720805806,0.1824188876318899,0.8253544847120328,0.21445754071479492,0.6152243268755615,0.26656533142193406,0.20066200793847583,0.18175004108993642,0.16693418780181313,0.09877482437895242,0.16705452499618562,0.23575033610033572,0.06609145292029409,0.08831799003331457,0.4108555036044703,0.5508677200014704,0.04138009199710457,0.15148089456785158,0.07605276128684554,0.086685690889958,0.18506641177050787,0.19637344162165135,0.17360544204881354,0.7212369004901004,0.22923643682237826,0.02600478836855718,0.3121059803678585,0.3682871701282966,0.3337463484526968,0.3065199196034374,0.3055596277744992,0.33266628567542117,0.12644895560143563,0.2811013078725987,0.04688988322297129,0.34908425031937124,0.0994345670543408,0.053327352447047435,0.05117582631590912,1.1684684389878526,0.8848428157567911,0.27981287842706787,0.150851734962687,0.17796684181133152,0.05603858941833559,0.08482404857356549,0.07170320161917726,0.3094351476702366,0.33581677943237787,0.35641032692281455,0.2463641909101616,0.1408482991472214,0.14009866641858096,0.19891172314565875,0.04739962360374975,0.21413494491428392,0.2566151045465958,0.7070768800353348,0.03884750172208874,0.2250161518912048,0.2389404186674613,0.02728168845008197,0.14267562384547583,0.33384813144533626,0.25398066429995436,0.08323364788297136,0.4229320285814791,0.01685351843828535,0.6533781082173972,0.2550433419932621,0.2401706498564481,0.14178076890500596,0.3105655481217279,0.1207857552390773,0.3054816238388205,0.058762070416339095,0.14849623151540167,0.15986691020848762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_length_g,-0.3432307996770067,-1.9910866293917135,-1.5212574233322531,-3.403140296553991,-3.81346400747358,-0.8002799511290288,-2.0716891082882163,-4.8799208019516,-0.6858600908998929,-0.9517442266515953,-2.8881526295915667,-18.321542547182375,-2.2706007144373066,-1.317674543874841,-1.2892645810383032,-1.5650503179310173,-1.1329503998131938,-0.9419504138529793,-2.944006987529254,-5.6542182857294785,-4.496073491419879,-1.3064558088339886,-1.304101388841693,-1.8892315358114673,-0.41076392945951534,-1.5162277652119827,-0.5464909013390113,-1.242244723992645,-1.6295909662964818,-1.7926133948544598,-1.948305398823789,-3.539229124019275,-2.024817626548155,-1.393253875780725,-4.999495413048119,-3.8060570497690893,-0.8001676578197928,-0.5973891554901902,-8.474087593733268,-2.1874393194633,-4.508915610921086,-3.8075553065989,-1.8215256804804936,-1.6021786402174358,-1.8966386290911048,-0.43344891823991677,-1.4792776766250963,-12.912364757870316,-1.0464716245019843,-0.9359488005889034,-0.9925656851078849,-1.053837900544764,-1.1195266069593075,-1.01672383550977,-2.6085886598799535,-1.244485727701667,-7.071048355140702,-0.9680887340294295,-3.2122465660368165,-6.008464055868819,-6.343630331743567,-0.2984686909579274,-0.4012239043227464,-1.181063509257439,-2.214334966038414,-1.8023207819269604,-5.972872479415812,-3.714194127122509,-4.511596853397844,-1.0463065112240861,-0.960747724929018,-0.9282944036994203,-1.384778974622045,-2.411882750737685,-2.413529040647747,-1.6268678345286935,-6.5790952566488405,-1.5965411063978907,-1.3762997499752725,-0.5099553706286836,-8.409286163600223,-1.5706719541996599,-1.4109760807912224,-12.298011570846553,-2.2704047625708705,-0.9974921010527747,-1.2924417404427853,-3.8915623894765017,-0.7511127257147968,-19.84171319824313,-0.5407477680549975,-1.3160390856094184,-1.3354951129728498,-2.3039491180489784,-1.0642278157110634,-2.8470330416511214,-1.0858145128280716,-5.333612208717908,-2.3585274534480636,-2.087594046770151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_crosswalk_g,-0.9491806052072256,-0.9295445664360747,-0.906994021657402,-0.9466228421086589,-1.0073038785006678,-0.9588587314596028,-0.8833780576949765,-1.049453038491849,-0.8954409117680453,-0.9357750936799161,-0.9483761232800321,-0.9673174604593234,-0.9106546460798474,-1.003024872991983,-0.9531806557165711,-1.0063928449581478,-0.9896226338131241,-0.864299533375726,-0.9116112184266228,-0.8671677509193441,-0.9836236260184157,-0.9259999171125379,-1.0017465491310524,-0.9793607476226531,-0.9461146849947341,-0.9667516954047608,-0.9531753165760851,-0.929312820796884,-1.0145287593570078,-0.8318137786232933,-0.972292488353652,-0.8331494400535666,-1.0075236545317812,-0.9501030482809525,-0.9289448209396376,-1.0176803923291742,-1.0374283188146463,-1.0746626383809819,-0.8758358742820417,-0.8337225189904028,-0.9658069971953887,-0.898434645100633,-0.9462723743406533,-0.8196825274277901,-0.9693031408915239,-0.9271967111889844,-1.0589626919283956,-1.0242205491205887,-0.9045297506834065,-0.9841918656138833,-0.9447911479785527,-0.9643922804537646,-0.9765042700023249,-0.9498133252864202,-0.8873890060493873,-0.9592896058237587,-0.9986328100278282,-0.9107912325777645,-0.936717047629513,-0.8707903470130424,-0.8614660461758169,-1.0218871518324744,-0.9959166889582332,-0.949652049081643,-0.9473917377977208,-0.8960187101902884,-1.0318443067914687,-0.9680597630037181,-0.9465918136317436,-1.041492224369864,-0.8257635283728884,-0.9061003745984912,-0.9109861110729193,-0.9373174672418885,-0.9318782735656665,-0.9543233680784886,-1.0171730128269085,-1.0157536032765404,-0.942494709487499,-0.8523573550063157,-0.9894302089268396,-0.9608614032490084,-0.9406714568497592,-0.9339155819300572,-0.8601808598613697,-1.011758079726545,-0.9263379332262449,-0.9561031449959295,-1.0056945589556001,-1.0582033290904025,-1.0284748780619366,-0.9499135559650889,-0.9032964486141527,-1.0094720601809841,-0.9433394178104625,-0.9681386817882721,-0.8960909252489917,-0.8323853734572808,-0.9770191118298075,-0.9222878730764964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
