WKT,fid,O,D,O_lat,O_lon,D_lat,D_lon,length,walkwidth,width,side,buile_MAX,build_ave,build_Min,katagawa,green,bridge,tunnel,crosswalk,roof,river,D/H,gradient,maxspeed,O_altitude,D_altitude,green_g,green_l
"MULTILINESTRING ((139.6383741 35.449128,139.6385264 35.4490366,139.6390459 35.4487705,139.6393582 35.4486107,139.6394192 35.4485805))",12,4,74,35.449128,139.6383741,35.4485805,139.6394192,112.595,5.0,25.5,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0009,0.0,2.6,2.5,0.0,0.0
"MULTILINESTRING ((139.6372833 35.4496789,139.6373896 35.4496167,139.6382712 35.4491829,139.6383741 35.449128))",13,4,25,35.449128,139.6383741,35.4496789,139.6372833,116.292,4.5,25.5,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0026,0.0,2.6,2.3,0.0,0.0
"MULTILINESTRING ((139.6416053 35.4474589,139.6416571 35.4475308,139.6418629 35.4478035))",20,7,83,35.4474589,139.6416053,35.4478035,139.6418629,44.865,5.0,22.5,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0089,40.0,3.4,3.0,0.0,0.0
"MULTILINESTRING ((139.6415573 35.4473987,139.6416053 35.4474589))",21,7,77,35.4474589,139.6416053,35.4473987,139.64155730000002,7.982,4.5,22.5,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,50.0,3.4,3.4,0.0,0.0
"MULTILINESTRING ((139.6404997 35.4480275,139.6405642 35.4479979,139.6410853 35.4477284,139.6415173 35.4475048,139.6416053 35.4474589))",22,7,116,35.4474589,139.6416053,35.4480275,139.6404997,118.446,5.0,25.5,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0034,0.0,3.4,3.0,0.0,0.0
"MULTILINESTRING ((139.6397238 35.4450464,139.6396645 35.4450747,139.6387073 35.4456063,139.6386639 35.4456488))",28,9,112,35.44504640000001,139.6397238,35.445648799999994,139.63866389999998,117.315,5.0,15.5,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0009,0.0,0.8,0.9,0.0,0.0
"MULTILINESTRING ((139.6395276 35.4447903,139.6397238 35.4450464))",29,9,308,35.44504640000001,139.6397238,35.4447903,139.63952759999998,33.568000000000005,5.0,23.5,1,36.0,33.5,31.0,0.0,2,0,0,0,0,0.0,0.701492537,0.006,50.0,0.8,0.6,0.0,0.0
"MULTILINESTRING ((139.6362381 35.4482943,139.6360062 35.447893))",34,12,67,35.447893,139.6360062,35.44829429999999,139.6362381,49.32,6.0,18.0,1,32.0,30.0,28.0,2.0,2,0,0,0,0,0.0,0.6,-0.0182,0.0,1.2,2.1,0.0,0.0
"MULTILINESTRING ((139.638059 35.4467315,139.6390516 35.4461739,139.6390996 35.4461509))",36,13,113,35.4467315,139.638059,35.4461509,139.6390996,114.265,3.0,10.5,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0026,0.0,1.4,1.1,0.0,0.0
"MULTILINESTRING ((139.6382267 35.4469414,139.638059 35.4467315))",37,13,292,35.4467315,139.638059,35.4469414,139.6382267,27.848000000000003,5.5,17.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0251,0.0,1.4,2.1,0.0,0.0
"MULTILINESTRING ((139.635682 35.4473125,139.6355137 35.4470227))",41,15,299,35.4473125,139.635682,35.4470227,139.6355137,35.649,6.0,18.0,1,39.0,16.3,4.0,2.0,2,0,0,0,0,0.0,1.107692308,-0.0084,0.0,0.8,1.1,0.0,0.0
"MULTILINESTRING ((139.63662 35.4467904,139.6365135 35.4468489,139.636383 35.446916,139.6363383 35.4469197,139.6358939 35.4471714,139.6358581 35.4472142,139.6357312 35.4472789,139.635682 35.4473125))",43,15,16,35.4473125,139.635682,35.4467904,139.63662,103.85,5.0,12.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0019,0.0,0.8,1.0,0.0,0.0
"MULTILINESTRING ((139.6364282 35.4465236,139.6365674 35.4467229,139.63662 35.4467904))",44,16,298,35.4467904,139.63662,35.446523600000006,139.63642819999998,34.387,8.5,24.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"MULTILINESTRING ((139.6376047 35.4462247,139.636727 35.4467274,139.63662 35.4467904))",45,16,17,35.4467904,139.63662,35.4462247,139.63760469999997,109.149,5.0,12.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"MULTILINESTRING ((139.6376047 35.4462247,139.637392 35.445988))",46,17,300,35.4462247,139.63760469999997,35.445988,139.637392,32.619,5.5,17.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0092,0.0,1.0,1.3,0.0,0.0
"MULTILINESTRING ((139.6386639 35.4456488,139.6386077 35.4456693,139.6376047 35.4462247))",47,17,112,35.4462247,139.63760469999997,35.445648799999994,139.63866389999998,115.43799999999999,5.0,12.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0009,0.0,1.0,0.9,0.0,0.0
"MULTILINESTRING ((139.6365155 35.4486898,139.6362381 35.4482943))",48,18,67,35.4486898,139.6365155,35.44829429999999,139.6362381,50.65,6.0,18.0,1,38.0,27.0,17.0,2.0,2,0,0,0,0,0.0,0.666666667,0.002,0.0,2.2,2.1,0.0,0.0
"MULTILINESTRING ((139.6365155 35.4486898,139.6365744 35.4486587,139.637096 35.4483899))",49,18,657,35.4486898,139.6365155,35.448389899999995,139.63709599999999,62.266999999999996,4.0,13.0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.0048,0.0,2.2,2.5,0.0,0.0
"MULTILINESTRING ((139.6368549 35.4491284,139.636813 35.4490757,139.6365155 35.4486898))",50,18,120,35.4486898,139.6365155,35.4491284,139.6368549,57.653,6.0,18.0,1,36.0,29.0,17.0,2.0,2,0,0,0,0,0.0,0.620689655,0.0017,0.0,2.2,2.1,0.0,0.0
"MULTILINESTRING ((139.635826 35.4458467,139.6359477 35.4459258))",59,22,649,35.4458467,139.635826,35.4459258,139.6359477,14.103,8.5,24.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,0.1276,0.0,2.8,1.0,0.0,0.0
"MULTILINESTRING ((139.635826 35.4458467,139.6359145 35.4457963))",60,22,648,35.4458467,139.635826,35.4457963,139.6359145,9.782,6.0,33.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,0.1533,0.0,2.8,1.3,0.0,0.0
"MULTILINESTRING ((139.6350535 35.4462722,139.6351633 35.4462152,139.6354684 35.4460564,139.6357124 35.4459133,139.635826 35.4458467))",61,22,621,35.4458467,139.635826,35.44627220000001,139.6350535,84.50399999999999,6.0,33.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0189,0.0,2.8,1.2,0.0,0.0
"MULTILINESTRING ((139.6357839 35.4457953,139.635826 35.4458467))",62,22,647,35.4458467,139.635826,35.4457953,139.6357839,6.871,5.0,24.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,0.2183,50.0,2.8,1.3,0.0,0.0
"MULTILINESTRING ((139.6372833 35.4496789,139.6372259 35.449606))",70,25,27,35.4496789,139.6372833,35.44960600000001,139.6372259,9.63,5.5,26.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,0.0,30.0,2.3,2.3,0.0,0.0
"MULTILINESTRING ((139.6375386 35.4499881,139.6373476 35.4497546,139.6372833 35.4496789))",71,25,85,35.4496789,139.6372833,35.4499881,139.63753860000003,41.43600000000001,5.5,26.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0024,30.0,2.3,2.4,0.0,0.0
"MULTILINESTRING ((139.6379704 35.448563,139.6380011 35.4486057,139.63828 35.4489704,139.6383407 35.4490416))",73,26,121,35.4490416,139.6383407,35.448563,139.6379704,62.92,8.5,24.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0032,0.0,2.3,2.5,0.0,0.0
"MULTILINESTRING ((139.6383407 35.4490416,139.6382092 35.4491131,139.6377905 35.4493185))",74,26,659,35.4490416,139.6383407,35.4493185,139.6377905,58.593999999999994,7.38,25.83,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,-0.0017,0.0,2.3,2.4,0.0,0.0
"MULTILINESTRING ((139.6393679 35.4485144,139.6393056 35.4485443,139.6388223 35.4487923,139.6384769 35.4489641,139.6383407 35.4490416))",75,26,76,35.4490416,139.6383407,35.4485144,139.6393679,109.99700000000001,5.0,25.4,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,-0.0018,0.0,2.3,2.5,0.0,0.0
"MULTILINESTRING ((139.6372259 35.449606,139.6371762 35.4495446,139.636918 35.4492084,139.6368919 35.4491753,139.6368549 35.4491284))",77,27,120,35.44960600000001,139.6372259,35.4491284,139.6368549,62.848,6.0,18.0,1,31.0,19.7,13.0,2.0,2,0,0,0,0,0.0,0.915254237,0.0032,0.0,2.3,2.1,0.0,0.0
"MULTILINESTRING ((139.6377905 35.4493185,139.6373396 35.4495518,139.6372259 35.449606))",78,27,659,35.44960600000001,139.6372259,35.4493185,139.6377905,60.318999999999996,4.8,25.8,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,-0.0017,0.0,2.3,2.4,0.0,0.0
"MULTILINESTRING ((139.6350535 35.4462722,139.6350275 35.4462183))",108,37,621,35.4462183,139.63502749999998,35.44627220000001,139.6350535,6.44,6.0,15.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0
"MULTILINESTRING ((139.6357839 35.4457953,139.6356684 35.4458599,139.6351246 35.446164,139.6350275 35.4462183))",109,37,647,35.4462183,139.63502749999998,35.4457953,139.6357839,83.11,6.0,33.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0012,0.0,1.2,1.3,0.0,0.0
"MULTILINESTRING ((139.6400763 35.4454783,139.6401422 35.4455734))",122,41,69,35.4454783,139.6400763,35.4455734,139.64014219999999,12.142999999999999,4.5,22.5,1,38.0,22.7,30.0,2.0,2,0,0,0,0,0.0,0.992647059,-0.0165,50.0,0.7,0.9,0.0,0.0
"MULTILINESTRING ((139.6408424 35.4464846,139.6408839 35.4465347,139.6411739 35.446914))",141,51,124,35.446484600000005,139.64084240000003,35.446914,139.6411739,56.409,4.5,22.5,1,54.0,40.5,27.0,2.0,2,0,0,0,0,0.0,0.5555555560000001,-0.0071,50.0,2.8,3.2,0.0,0.0
"MULTILINESTRING ((139.6405095 35.4460537,139.6407984 35.4464297,139.6408424 35.4464846))",142,51,68,35.446484600000005,139.64084240000003,35.4460537,139.6405095,56.61600000000001,5.0,22.5,1,31.0,16.3,6.0,2.0,2,0,0,0,0,0.0,1.37755102,0.0194,50.0,2.8,1.7,0.0,0.0
"MULTILINESTRING ((139.6397765 35.4470209,139.6398282 35.4469952,139.6407847 35.4465113,139.6408424 35.4464846))",143,51,128,35.446484600000005,139.64084240000003,35.4470209,139.63977649999998,113.49,4.0,13.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0026,0.0,2.8,3.1,0.0,0.0
"MULTILINESTRING ((139.6405095 35.4460537,139.6404518 35.4460856,139.6395214 35.4465664,139.6394676 35.4465945))",191,68,114,35.4460537,139.6405095,35.44659450000001,139.6394676,111.914,7.5,19.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0045,0.0,1.7,2.2,0.0,0.0
"MULTILINESTRING ((139.6403138 35.4458063,139.6405095 35.4460537))",192,68,293,35.4460537,139.6405095,35.445806299999994,139.6403138,32.727,4.5,22.5,1,9.0,7.5,6.0,2.0,2,0,0,0,0,0.0,3.0,0.0153,50.0,1.7,1.2,0.0,0.0
"MULTILINESTRING ((139.6401422 35.4455734,139.6401704 35.4456148,139.6403138 35.4458063))",193,69,293,35.4455734,139.64014219999999,35.445806299999994,139.6403138,30.208000000000002,4.5,22.5,1,30.0,22.3,13.0,2.0,2,0,0,0,0,0.0,1.011235955,-0.0099,50.0,0.9,1.2,0.0,0.0
"MULTILINESTRING ((139.6390996 35.4461509,139.6391485 35.4461294,139.6400793 35.4456082,139.6401422 35.4455734))",194,69,113,35.4455734,139.64014219999999,35.4461509,139.6390996,114.23700000000001,2.0,9.5,1,38.0,19.8,10.0,2.0,0,0,0,0,0,0.0,0.481012658,-0.0018,0.0,0.9,1.1,0.0,0.0
"MULTILINESTRING ((139.6361269 35.4446182,139.6359771 35.4444558,139.6359325 35.444408))",195,70,725,35.44440800000001,139.6359325,35.4446182,139.63612690000002,29.265,5.5,17.0,1,63.0,29.0,7.0,2.0,2,0,0,0,0,0.0,0.5862068970000001,0.0205,0.0,2.0,1.4,0.0,0.0
"MULTILINESTRING ((139.636701 35.4438147,139.6365835 35.4438921,139.6365323 35.4439258,139.6363993 35.4440191,139.6361881 35.4441806,139.6360562 35.4442935,139.6359325 35.444408))",196,70,138,35.44440800000001,139.6359325,35.443814700000004,139.636701,96.08200000000001,5.0,15.5,1,42.0,23.7,7.0,2.0,0,0,0,0,0,0.0,0.654929577,0.0125,0.0,2.0,0.8,0.0,0.0
"MULTILINESTRING ((139.6352138 35.4450583,139.6352614 35.4450159,139.6355384 35.4447707,139.6358732 35.44447,139.6358944 35.4444509,139.6359325 35.444408))",197,70,642,35.44440800000001,139.6359325,35.4450583,139.6352138,97.336,5.0,17.0,1,63.0,32.5,7.0,2.0,0,0,0,0,0,0.0,0.523076923,0.0062,0.0,2.0,1.4,0.0,0.0
"MULTILINESTRING ((139.6365325 35.4450461,139.6366861 35.4452118,139.6367375 35.4452682))",198,71,306,35.4452682,139.6367375,35.4450461,139.6365325,30.9,3.5,13.0,1,30.0,30.0,30.0,2.0,2,0,0,0,0,0.0,0.433333333,0.0097,0.0,1.2,0.9,0.0,0.0
"MULTILINESTRING ((139.6367375 35.4452682,139.6359994 35.4456693,139.635873 35.4457381))",199,71,645,35.4452682,139.6367375,35.4457381,139.635873,94.14399999999999,6.0,33.0,1,31.0,30.0,29.0,2.0,2,0,0,0,0,0.0,1.1,0.0011,30.0,1.2,1.1,0.0,0.0
"MULTILINESTRING ((139.6375769 35.4448046,139.6367375 35.4452682))",200,71,310,35.4452682,139.6367375,35.444804600000005,139.63757690000003,91.866,6.0,33.0,1,30.0,30.0,30.0,2.0,2,0,0,0,0,0.0,1.1,0.0044,30.0,1.2,0.8,0.0,1.0
"MULTILINESTRING ((139.6367893 35.4453217,139.6367375 35.4452682))",201,71,652,35.4452682,139.6367375,35.4453217,139.6367893,7.577000000000001,3.5,13.0,1,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0
"MULTILINESTRING ((139.6371917 35.4457669,139.6382104 35.4452017,139.6382499 35.4451782))",202,72,109,35.4457669,139.6371917,35.4451782,139.6382499,116.08,3.5,12.0,1,31.0,25.0,5.0,2.0,0,0,0,0,0,0.0,0.48,0.0043,0.0,1.4,0.9,0.0,0.0
"MULTILINESTRING ((139.6362462 35.4462925,139.6363543 35.4462304,139.6371917 35.4457669))",203,72,108,35.4457669,139.6371917,35.4462925,139.6362462,103.691,3.5,12.0,1,31.0,25.0,10.0,2.0,0,0,0,0,0,0.0,0.48,0.0039,0.0,1.4,1.0,0.0,0.0
"MULTILINESTRING ((139.637392 35.445988,139.6371917 35.4457669))",204,72,300,35.4457669,139.6371917,35.445988,139.637392,30.555999999999997,4.0,12.5,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.0033,0.0,1.4,1.3,0.0,0.0
"MULTILINESTRING ((139.6383772 35.4471624,139.6383475 35.4471104,139.6382267 35.4469414))",205,73,292,35.44716240000001,139.63837719999998,35.4469414,139.6382267,28.123,5.5,17.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0249,0.0,1.4,2.1,0.0,0.0
"MULTILINESTRING ((139.6394676 35.4465945,139.6394139 35.4466232,139.6383772 35.4471624))",206,73,114,35.44716240000001,139.63837719999998,35.44659450000001,139.6394676,117.235,7.5,19.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0068,0.0,1.4,2.2,0.0,0.0
"MULTILINESTRING ((139.638683 35.4475826,139.6385531 35.4474108,139.6384074 35.4472148,139.6383772 35.4471624))",207,73,127,35.44716240000001,139.63837719999998,35.4475826,139.63868300000001,54.353,5.5,17.0,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,-0.0221,0.0,1.4,2.6,0.0,0.0
