trip_id,link_id,monitor_id,prev_trip_id,mode,purpose,link_length
6,1436,6002,36003,100,100,50
6,1270,6002,36003,100,100,50
6,70,6002,36003,100,100,50
34,1248,6002,37358,100,210,50
34,47,6002,37358,100,210,50
34,1232,6002,37358,100,210,50
34,2363,6002,37358,100,210,50
38,2367,6002,37358,100,210,50
38,2366,6002,37358,100,210,50
38,2357,6002,37358,100,210,50
38,1160,6002,37358,100,210,50
38,30,6002,37358,100,210,50
39,5,6002,37358,100,210,50
39,33,6002,37358,100,210,50
39,1246,6002,37358,100,210,50
39,49,6002,37358,100,210,50
39,1275,6002,37358,100,210,50
39,75,6002,37358,100,210,50
357,106,6008,37539,100,100,50
357,1264,6008,37539,100,100,50
357,64,6008,37539,100,100,50
357,656,6008,37539,100,100,50
357,1088,6008,37539,100,100,50
357,2281,6008,37539,100,100,50
357,1081,6008,37539,100,100,50
357,2288,6008,37539,100,100,50
357,1306,6008,37539,100,100,50
357,1194,6008,37539,100,100,50
357,1195,6008,37539,100,100,50
357,1838,6008,37539,100,100,50
357,640,6008,37539,100,100,50
361,1839,6008,37539,100,100,50
361,639,6008,37539,100,100,50
361,2394,6008,37539,100,100,50
361,2393,6008,37539,100,100,50
361,107,6008,37539,100,100,50
361,1089,6008,37539,100,100,50
361,1862,6008,37539,100,100,50
361,1482,6008,37539,100,100,50
361,282,6008,37539,100,100,50
361,1239,6008,37539,100,100,50
361,1163,6008,37539,100,100,50
361,1164,6008,37539,100,100,50
361,33,6008,37539,100,100,50
361,1246,6008,37539,100,100,50
361,49,6008,37539,100,100,50
361,1275,6008,37539,100,100,50
361,75,6008,37539,100,100,50
361,1436,6008,37539,100,100,50
446,579,6011,39180,100,210,50
446,1874,6011,39180,100,210,50
446,1779,6011,39180,100,210,50
446,1643,6011,39180,100,210,50
446,1640,6011,39180,100,210,50
446,440,6011,39180,100,210,50
446,675,6011,39180,100,210,50
446,1778,6011,39180,100,210,50
447,579,6011,39461,100,700,50
447,1874,6011,39461,100,700,50
447,1779,6011,39461,100,700,50
447,1643,6011,39461,100,700,50
447,1641,6011,39461,100,700,50
447,443,6011,39461,100,700,50
447,1831,6011,39461,100,700,50
447,1309,6011,39461,100,700,50
447,111,6011,39461,100,700,50
447,1327,6011,39461,100,700,50
447,126,6011,39461,100,700,50
447,1323,6011,39461,100,700,50
448,1323,6011,39461,100,700,50
448,125,6011,39461,100,700,50
448,129,6011,39461,100,700,50
448,131,6011,39461,100,700,50
448,133,6011,39461,100,700,50
448,135,6011,39461,100,700,50
448,1418,6011,39461,100,700,50
452,55,6011,39461,100,700,50
454,1214,6011,39461,100,700,50
454,13,6011,39461,100,700,50
462,87,6011,39461,100,700,50
481,1215,6011,41796,100,200,50
481,1212,6011,41796,100,200,50
481,15,6011,41796,100,200,50
481,56,6011,41796,100,200,50
481,57,6011,41796,100,200,50
481,113,6011,41796,100,200,50
481,1815,6011,41796,100,200,50
489,580,6011,41796,100,200,50
