,P1,P2,P3
case1,0.09003057317038045,0.2447284710547976,0.6652409557748219
case2,0.2447284710547977,0.6652409557748219,0.09003057317038046
case3,0.5521477304303902,0.2447284710547976,0.2031237985148121
case4,0.37763576447260117,0.2447284710547976,0.3776357644726013
