,P1,P2,P3,P4,P5
case1,0.08015892392545443,0.2178945462953938,0.5922987857150971,0.029488820138600328,0.08015892392545443
case2,0.0844373744524495,0.6239124966755631,0.031062774127550947,0.03106277412755094,0.22952458061688552
case3,0.0355288445691573,0.26252462565169093,0.06319664841097657,0.07614085230036742,0.5626090290678079
case4,0.08015892392545443,0.2178945462953938,0.29644521489315495,0.10905609999284195,0.29644521489315495
