,0
L0,-1847.5216307228422
LL,-1707.506785823123
Lv,0.0
b0_crosswalk_g,-1.2
b0_greenlen_g,0.0
b0_length_g,-0.3
b0_sidewalklen_g,0.1
beta_crosswalk_g,-1.0549577716982397
beta_greenlen_g,0.11911991794428853
beta_length_g,-0.38638278007097787
beta_sidewalklen_g,0.07323290341347202
gamma,0.98
mu_g,1.0
runtime,39.72133803367615
se_crosswalk_g,0.6306552888400294
se_greenlen_g,0.92335586004306
se_length_g,0.021285653012353627
se_sidewalklen_g,0.06826983122391768
t_crosswalk_g,-1.6727962016121898
t_greenlen_g,0.12900759403718243
t_length_g,-18.15226339763838
t_sidewalklen_g,1.0726978828067701
