,0
L0,-3008.0134216084357
LL,-2793.1407230330065
Lv,0.0
b0_crosswalk_g,-1.2
b0_greenlen_l,0.0
b0_length_g,-0.3
b0_sidewalklen_g,0.1
beta_crosswalk_g,-1.3249668466392366
beta_greenlen_l,0.8775239024448903
beta_length_g,-0.4333094532195136
beta_sidewalklen_g,0.10350905029468027
gamma,0.7
mu_g,1.0
runtime,36.62075591087341
se_crosswalk_g,3.0612720423828073
se_greenlen_l,1.5360302539916098
se_length_g,0.2096246949623203
se_sidewalklen_g,0.07266297974630853
t_crosswalk_g,-0.432815779942223
t_greenlen_l,0.5712933714453281
t_length_g,-2.0670725521981095
t_sidewalklen_g,1.4245087478667402
