モニターID,ダイアリーID,交通手段,リンクID,リンク出発時刻,所要時間(s),速度(km/h),リンクコスト,リンク長(m)
6002,6,100,70,2019-11-25 12:44:19.0,0.0,2.147483647E8,0,9.63
6002,34,100,48,2019-11-26 12:03:39.0,25.0,7.2,2,50.65
6002,38,100,35,2019-11-26 12:35:48.0,28.0,6.2,0,48.795
6002,39,100,50,2019-11-26 12:41:43.0,41.0,5.0,0,57.653
6008,357,100,1195,2019-11-26 12:54:15.0,13.0,8.2,0,29.646
6008,357,100,1196,2019-11-26 12:54:28.0,32.0,3.3,0,30.0
6008,361,100,108,2019-11-26 13:56:28.0,3.0,7.7,0,6.44
6008,361,100,2387,2019-11-26 13:56:31.0,111.0,1.0,1,32.814
6008,361,100,2386,2019-11-26 13:58:22.0,16.0,6.6,0,29.591
6008,361,100,283,2019-11-26 13:58:38.0,19.0,5.8,0,30.923
6008,361,100,1240,2019-11-26 13:58:57.0,23.0,5.5,1,35.649
6008,361,100,1164,2019-11-26 13:59:20.0,30.0,4.2,1,35.328
6008,361,100,1165,2019-11-26 13:59:50.0,25.0,5.0,0,35.269
6008,361,100,34,2019-11-26 14:00:15.0,37.0,4.7,0,49.32
6008,361,100,1247,2019-11-26 14:00:52.0,31.0,5.8,0,50.65
6008,361,100,50,2019-11-26 14:01:23.0,39.0,5.3,2,57.653
6011,446,100,676,2019-11-27 18:24:51.0,0.0,2.147483647E8,0,3.0780000000000003
6011,447,100,1642,2019-11-27 18:51:25.0,19.0,10.8,10,57.37
6011,447,100,444,2019-11-27 18:51:44.0,79.0,3.9,3,85.598
6011,447,100,1832,2019-11-27 18:53:03.0,9.0,7.6,0,19.075
6011,447,100,1310,2019-11-27 18:53:12.0,74.0,4.4,4,90.71
6011,447,100,110,2019-11-27 18:54:26.0,15.0,1.8,0,7.8679999999999986
6011,447,100,1155,2019-11-27 18:54:41.0,72.0,4.1,6,83.366
6011,448,100,130,2019-11-27 18:57:25.0,32.0,4.7,2,42.637
6011,448,100,132,2019-11-27 18:57:57.0,29.0,5.2,0,42.28100000000001
6011,448,100,134,2019-11-27 18:58:26.0,21.0,5.7,0,33.746
6011,452,100,1336,2019-11-27 19:00:50.0,0.0,2.147483647E8,1,8.663
6011,454,100,16,2019-11-27 19:03:20.0,0.0,2.147483647E8,22,114.562
6011,462,100,88,2019-11-27 19:25:09.0,3.0,13.6,2,11.349
6011,489,100,1640,2019-11-29 20:12:57.0,32.0,4.8,3,43.416
6011,489,100,1597,2019-11-29 20:13:29.0,331.0,1.0,0,99.413
6011,490,100,400,2019-11-29 20:19:36.0,49.0,6.6,0,89.97200000000002
6011,490,100,1663,2019-11-29 20:20:25.0,51.0,5.0,2,71.15899999999998
6011,490,100,1660,2019-11-29 20:21:16.0,87.0,4.7,3,114.997
6011,490,100,1653,2019-11-29 20:22:43.0,56.0,5.7,1,89.12100000000002
6011,490,100,453,2019-11-29 20:23:39.0,61.0,5.7,5,97.91
6011,490,100,1146,2019-11-29 20:24:40.0,2.0,18.8,1,10.456
6011,490,100,1646,2019-11-29 20:24:42.0,82.0,4.9,2,113.098
6011,490,100,448,2019-11-29 20:26:04.0,55.0,4.7,0,73.095
6011,490,100,449,2019-11-29 20:26:59.0,60.0,5.0,3,83.506
6011,490,100,1327,2019-11-29 20:27:59.0,42.0,3.0,0,35.751
6011,490,100,127,2019-11-29 20:28:41.0,3.0,8.7,0,7.282999999999999
6011,490,100,1324,2019-11-29 20:28:44.0,76.0,5.4,11,114.579
6011,491,100,134,2019-11-29 20:31:21.0,21.0,5.7,0,33.746
6011,491,100,136,2019-11-29 20:31:42.0,76.0,3.8,4,81.71300000000002
6011,491,100,1336,2019-11-29 20:32:58.0,2.0,15.5,0,8.663
6011,491,100,1255,2019-11-29 20:33:00.0,143.0,3.9,0,155.606
6011,502,100,88,2019-12-01 11:26:36.0,0.0,2.147483647E8,3,11.349
6011,504,100,1875,2019-12-01 13:08:49.0,0.0,2.147483647E8,0,3.0780000000000003
6011,504,100,1780,2019-12-01 13:08:49.0,46.0,4.2,1,54.75
6011,504,100,1644,2019-12-01 13:09:35.0,36.0,4.4,2,44.187
6011,505,100,397,2019-12-01 13:13:54.0,67.0,4.9,2,92.473
6011,508,100,1325,2019-12-01 13:17:50.0,15.0,10.0,0,42.01600000000001
6011,523,100,291,2019-12-01 13:23:52.0,16.0,6.1,0,27.337
6011,523,100,1399,2019-12-01 13:24:08.0,136.0,2.4,0,91.866
6011,523,100,199,2019-12-01 13:26:24.0,129.0,2.6,0,94.144
6011,523,100,1109,2019-12-01 13:28:33.0,11.0,3.3,0,10.276
6039,1018,100,70,2019-11-25 18:40:48.0,98.0,0.3,0,9.63
6042,1108,100,1490,2019-11-26 12:53:27.0,18.0,5.4,5,27.337
6042,1112,100,1546,2019-11-26 12:58:10.0,13.0,12.4,11,44.957
6042,1149,100,1412,2019-12-04 09:35:59.0,0.0,2.147483647E8,7,33.501999999999995
6043,1175,100,89,2019-11-25 12:11:50.0,275.0,0.5,0,39.108
6043,1175,100,1368,2019-11-25 12:16:25.0,50.0,0.8,0,12.449000000000002
6043,1175,100,171,2019-11-25 12:17:15.0,100.0,1.2,0,33.441
6043,1183,100,83,2019-11-25 12:24:28.0,30.0,6.2,0,51.843
6043,1189,100,946,2019-11-25 22:58:00.0,44.0,4.6,0,56.584
6043,1189,100,2175,2019-11-25 22:58:44.0,37.0,3.4,1,35.218
6043,1189,100,1363,2019-11-25 22:59:21.0,71.0,3.1,3,62.94600000000001
6043,1189,100,163,2019-11-25 23:00:32.0,34.0,4.3,2,41.43
6043,1189,100,2187,2019-11-25 23:01:06.0,3.0,3.6,0,3.074
6043,1189,100,2154,2019-11-25 23:01:09.0,1.0,171.7,3,47.707
6043,1189,100,954,2019-11-25 23:01:10.0,50.0,4.5,12,62.596
6043,1189,100,961,2019-11-25 23:02:00.0,0.0,2.147483647E8,23,67.096
6043,1189,100,2169,2019-11-25 23:02:00.0,0.0,2.147483647E8,9,17.074
6043,1189,100,1786,2019-11-25 23:02:00.0,0.0,2.147483647E8,41,56.285
6043,1189,100,1356,2019-11-25 23:02:00.0,190.0,0.7,39,40.629
6043,1189,100,1351,2019-11-25 23:05:10.0,0.0,2.147483647E8,12,12.732
6043,1189,100,153,2019-11-25 23:05:10.0,9.0,41.6,73,104.247
6043,1189,100,1793,2019-11-25 23:05:19.0,27.0,11.0,25,82.919
6043,1189,100,593,2019-11-25 23:05:46.0,27.0,6.1,13,45.843
6043,1219,100,1368,2019-11-26 12:42:50.0,7.0,6.4,0,12.449000000000002
6043,1219,100,171,2019-11-26 12:42:57.0,62.0,1.9,2,33.441
6043,1219,100,1285,2019-11-26 12:43:59.0,7.0,4.7,0,9.222
6043,1219,100,85,2019-11-26 12:44:06.0,22.0,4.1,2,25.633000000000006
6043,1219,100,956,2019-11-26 12:44:28.0,7.0,11.3,1,22.152
6043,1219,100,2198,2019-11-26 12:44:35.0,5.0,16.8,0,23.431
6043,1219,100,998,2019-11-26 12:44:40.0,20.0,5.9,1,33.106
6043,1224,100,2175,2019-11-26 23:06:53.0,18.0,7.0,0,35.218
6043,1224,100,1363,2019-11-26 23:07:11.0,54.0,4.1,3,62.94600000000001
6043,1224,100,163,2019-11-26 23:08:05.0,42.0,3.5,2,41.43
6043,1224,100,2187,2019-11-26 23:08:47.0,3.0,3.6,0,3.074
6043,1224,100,2154,2019-11-26 23:08:50.0,2.0,85.8,2,47.707
6043,1224,100,954,2019-11-26 23:08:52.0,42.0,5.3,11,62.596
6043,1224,100,961,2019-11-26 23:09:34.0,0.0,2.147483647E8,23,67.096
6043,1224,100,2169,2019-11-26 23:09:34.0,0.0,2.147483647E8,9,17.074
6043,1224,100,1786,2019-11-26 23:09:34.0,0.0,2.147483647E8,41,56.285
6043,1224,100,1356,2019-11-26 23:09:34.0,0.0,2.147483647E8,39,40.629
6043,1224,100,1351,2019-11-26 23:09:34.0,227.0,0.2,13,12.732
6043,1224,100,153,2019-11-26 23:13:21.0,0.0,2.147483647E8,79,104.247
6043,1224,100,1793,2019-11-26 23:13:21.0,14.0,21.3,27,82.919
6043,1224,100,593,2019-11-26 23:13:35.0,4.0,41.2,12,45.843
6044,1233,100,11,2019-11-28 08:23:32.0,6.0,24.8,2,41.402
6044,1235,100,10,2019-11-28 13:20:32.0,16.0,2.2,0,10.072
6044,1237,100,10,2019-11-28 13:28:12.0,0.0,2.147483647E8,0,10.072
6044,1238,100,1209,2019-11-28 13:43:07.0,44.0,0.8,0,10.072
6044,1249,100,235,2019-11-29 08:21:25.0,73.0,5.6,1,114.092
6044,1252,100,1209,2019-11-29 13:34:52.0,1.0,36.2,0,10.072
6045,1291,100,88,2019-11-25 17:57:36.0,0.0,2.147483647E8,2,11.349
6045,1292,100,171,2019-11-25 17:58:41.0,10.0,12.0,0,33.441
6045,1292,100,1285,2019-11-25 17:58:51.0,2.0,16.5,0,9.222
6045,1292,100,85,2019-11-25 17:58:53.0,8.0,11.5,2,25.633000000000006
6045,1292,100,1283,2019-11-25 17:59:01.0,17.0,11.5,4,54.62600000000001
6045,1292,100,82,2019-11-25 17:59:18.0,4.0,12.5,1,13.901
6045,1292,100,2178,2019-11-25 17:59:22.0,13.0,11.5,3,41.674
6045,1292,100,978,2019-11-25 17:59:35.0,2.0,13.1,0,7.322
6045,1295,100,2166,2019-11-25 18:01:01.0,0.0,2.147483647E8,3,33.244
6045,1306,100,593,2019-11-25 19:29:31.0,31.0,5.3,1,45.843
6045,1306,100,1633,2019-11-25 19:30:02.0,56.0,4.8,6,75.46300000000002
6045,1306,100,1385,2019-11-25 19:30:58.0,58.0,3.5,0,57.647
6045,1310,100,860,2019-11-25 19:35:22.0,12.0,31.9,9,106.445
6045,1310,100,1767,2019-11-25 19:35:34.0,80.0,4.6,17,103.126
6045,1342,100,169,2019-11-26 18:26:57.0,0.0,2.147483647E8,0,12.449000000000002
6045,1344,100,82,2019-11-26 18:28:27.0,17.0,2.9,0,13.901
6045,1344,100,2178,2019-11-26 18:28:44.0,18.0,8.3,0,41.674
6045,1344,100,978,2019-11-26 18:29:02.0,7.0,3.7,0,7.322
6045,1344,100,2175,2019-11-26 18:29:09.0,241.0,0.5,0,35.218
6045,1348,100,931,2019-11-26 18:37:03.0,0.0,2.147483647E8,29,71.464
6046,1371,100,468,2019-11-25 07:42:54.0,0.0,2.147483647E8,0,7.4529999999999985
6046,1373,100,2293,2019-11-25 10:32:34.0,25.0,6.6,4,46.29
6046,1373,100,1670,2019-11-25 10:32:59.0,41.0,6.7,7,76.487
6046,1378,100,617,2019-11-25 10:57:17.0,0.0,2.147483647E8,0,67.743
6046,1405,100,616,2019-11-25 12:04:55.0,0.0,2.147483647E8,7,46.46100000000001
6046,1432,100,1094,2019-11-25 16:07:52.0,5.0,33.3,0,46.29
6046,1433,100,57,2019-11-25 16:15:36.0,0.0,2.147483647E8,13,115.828
6046,1436,100,57,2019-11-25 16:47:01.0,125.0,3.3,14,115.828
6046,1439,100,617,2019-11-25 16:53:41.0,0.0,2.147483647E8,3,67.743
6046,1446,100,1094,2019-11-25 17:00:13.0,29.0,5.7,0,46.29
6046,1468,100,115,2019-11-25 18:33:39.0,27.0,6.3,3,47.574
6046,1468,100,1317,2019-11-25 18:34:06.0,46.0,5.7,2,73.712
6046,1468,100,120,2019-11-25 18:34:52.0,4.0,8.1,0,9.082
6046,1468,100,1421,2019-11-25 18:34:56.0,113.0,3.7,0,117.075
6046,1468,100,1336,2019-11-25 18:36:49.0,0.0,2.147483647E8,0,8.663
6046,1487,100,468,2019-12-02 07:44:04.0,3.0,8.9,0,7.4529999999999985
6046,1502,100,115,2019-12-02 19:08:08.0,30.0,5.7,0,47.574
6046,1502,100,1317,2019-12-02 19:08:38.0,103.0,2.5,0,73.712
6046,1502,100,116,2019-12-02 19:10:21.0,4.0,8.0,0,8.955
6055,2062,100,1186,2019-11-29 12:18:02.0,92.0,4.5,0,116.896
6055,2129,100,201,2019-12-02 09:04:19.0,11.0,2.4,0,7.577000000000001
6055,2153,100,246,2019-12-02 13:30:30.0,0.0,2.147483647E8,2,11.504
6056,2212,100,1098,2019-11-26 13:55:07.0,9.0,11.7,0,29.296
6056,2220,100,59,2019-11-26 14:25:24.0,15.0,3.3,0,14.103
6056,2220,100,2389,2019-11-26 14:25:39.0,25.0,2.8,0,20.069000000000006
6056,2220,100,2388,2019-11-26 14:26:04.0,11.0,9.4,0,28.826
6056,2220,100,285,2019-11-26 14:26:15.0,30.0,3.6,0,30.532
6056,2221,100,1167,2019-11-26 14:28:20.0,15.0,8.5,0,35.47
6056,2225,100,8,2019-11-26 14:45:21.0,57.0,3.3,2,52.26600000000001
6056,2225,100,1506,2019-11-26 14:46:18.0,46.0,4.5,1,58.094
6065,2410,100,219,2019-11-27 11:36:46.0,35.0,6.5,0,63.43
6065,2414,100,217,2019-11-27 12:04:56.0,4.0,7.6,0,8.554
6065,2414,100,220,2019-11-27 12:05:00.0,72.0,5.6,2,112.421
6065,2414,100,1336,2019-11-27 12:06:12.0,0.0,2.147483647E8,0,8.663
6065,2425,100,1416,2019-11-27 13:16:57.0,4.0,7.6,0,8.554
6065,2425,100,1220,2019-11-27 13:17:01.0,1.0,28.7,0,7.982
6065,2425,100,22,2019-11-27 13:17:02.0,99.0,4.3,0,118.446
6065,2425,100,1408,2019-11-27 13:18:41.0,76.0,5.4,0,115.596
6076,2752,100,116,2019-11-27 13:47:03.0,6.0,5.3,0,8.955
6076,2752,100,1344,2019-11-27 13:47:09.0,56.0,4.5,0,71.275
6077,2770,100,1288,2019-11-28 11:28:35.0,19.0,7.4,0,39.108
6077,2791,100,88,2019-11-28 13:29:52.0,0.0,2.147483647E8,0,11.349
6078,2905,100,195,2019-11-29 10:41:33.0,9.0,11.7,0,29.265
6078,2905,100,1865,2019-11-29 10:41:42.0,19.0,5.7,0,30.351
6078,2905,100,665,2019-11-29 10:42:01.0,21.0,5.1,0,29.768
6078,2905,100,1397,2019-11-29 10:42:22.0,17.0,6.5,0,30.9
6078,2905,100,201,2019-11-29 10:42:39.0,8.0,3.4,0,7.577000000000001
6078,2905,100,2391,2019-11-29 10:42:47.0,56.0,2.1,1,32.688
6078,2905,100,2390,2019-11-29 10:43:43.0,14.0,7.3,0,28.625
6078,2905,100,204,2019-11-29 10:43:57.0,18.0,6.1,0,30.556
6078,2905,100,1245,2019-11-29 10:44:15.0,19.0,6.1,0,32.619
6078,2906,100,1242,2019-11-29 10:53:41.0,73.0,5.1,0,103.85
6078,2906,100,41,2019-11-29 10:54:54.0,17.0,7.5,0,35.649
6078,2906,100,1482,2019-11-29 10:55:11.0,14.0,7.9,0,30.923
6078,2906,100,1187,2019-11-29 10:55:25.0,21.0,5.0,0,29.591
6078,2906,100,1188,2019-11-29 10:55:46.0,23.0,5.1,0,32.814
6078,2906,100,1307,2019-11-29 10:56:09.0,8.0,2.8,0,6.44
6078,2906,100,1195,2019-11-29 10:56:17.0,15.0,7.1,1,29.646
6078,2906,100,1196,2019-11-29 10:56:32.0,18.0,6.0,1,30.0
6078,2906,100,1839,2019-11-29 10:56:50.0,24.0,2.4,0,16.343
6078,2913,100,691,2019-11-29 10:59:02.0,49.0,4.7,15,64.653
6078,2913,100,1889,2019-11-29 10:59:51.0,40.0,5.9,14,65.75
6078,2913,100,688,2019-11-29 11:00:31.0,55.0,6.9,24,106.012
6078,2913,100,1765,2019-11-29 11:01:26.0,51.0,5.5,18,78.834
6078,2913,100,565,2019-11-29 11:02:17.0,109.0,2.4,16,75.594
6078,2914,100,567,2019-11-29 11:05:20.0,32.0,6.1,11,54.432
6078,2915,100,1766,2019-11-29 11:12:21.0,48.0,4.0,10,54.432
6078,2915,100,568,2019-11-29 11:13:09.0,60.0,6.1,23,103.126
6078,2915,100,1764,2019-11-29 11:14:09.0,57.0,4.7,17,75.594
6078,2915,100,566,2019-11-29 11:15:06.0,39.0,7.2,13,78.834
6078,2915,100,1887,2019-11-29 11:15:45.0,74.0,5.1,24,106.012
6078,2915,100,690,2019-11-29 11:16:59.0,41.0,5.7,12,65.75
6078,2915,100,1890,2019-11-29 11:17:40.0,40.0,5.8,14,64.653
6078,2924,100,103,2019-11-29 11:23:00.0,0.0,2.147483647E8,0,28.897
6083,3099,100,1444,2019-11-28 10:55:25.0,1.0,31.5,1,8.761000000000001
6083,3099,100,1202,2019-11-28 10:55:26.0,2.0,67.7,3,37.635
6083,3100,100,1,2019-11-28 11:33:16.0,22.0,6.0,0,36.841
6083,3105,100,1,2019-11-28 12:09:52.0,0.0,2.147483647E8,0,36.841
6086,3128,100,106,2019-11-27 13:20:36.0,0.0,2.147483647E8,0,8.703
6086,3128,100,1095,2019-11-27 13:20:36.0,79.0,3.5,0,77.645
6086,3128,100,1884,2019-11-27 13:21:55.0,0.0,2.147483647E8,0,8.493
6086,3140,100,1,2019-11-27 13:33:49.0,24.0,5.5,0,36.841
6086,3140,100,2397,2019-11-27 13:34:13.0,25.0,4.0,0,28.39
6086,3140,100,2396,2019-11-27 13:34:38.0,16.0,6.7,0,30.0
6086,3140,100,2308,2019-11-27 13:34:54.0,0.0,2.147483647E8,0,10.276
6086,3140,100,1110,2019-11-27 13:34:54.0,0.0,2.147483647E8,0,7.484
6086,3141,100,62,2019-11-27 13:35:24.0,0.0,2.147483647E8,0,6.871
6093,3231,100,1597,2019-11-26 16:28:52.0,71.0,5.0,1,99.413
6093,3231,100,400,2019-11-26 16:30:03.0,60.0,5.3,5,89.97200000000002
6093,3231,100,1663,2019-11-26 16:31:03.0,46.0,5.5,1,71.15899999999998
6093,3231,100,1660,2019-11-26 16:31:49.0,72.0,5.7,4,114.997
6093,3231,100,1653,2019-11-26 16:33:01.0,57.0,5.6,5,89.12100000000002
6093,3231,100,453,2019-11-26 16:33:58.0,71.0,4.9,9,97.91
6093,3231,100,1146,2019-11-26 16:35:09.0,0.0,2.147483647E8,0,10.456
6093,3233,100,1140,2019-11-26 16:38:49.0,1.0,32.0,1,8.901
6098,3316,100,88,2019-11-27 18:28:43.0,0.0,2.147483647E8,0,11.349
6098,3317,100,1285,2019-11-27 18:30:01.0,5.0,6.6,0,9.222
6098,3317,100,85,2019-11-27 18:30:06.0,13.0,7.0,0,25.633000000000006
6098,3320,100,1363,2019-11-27 18:36:19.0,37.0,6.1,0,62.94600000000001
6098,3335,100,593,2019-11-27 20:32:04.0,16.0,10.3,1,45.843
6098,3338,100,1373,2019-11-27 20:35:08.0,93.0,1.9,3,50.021
6098,3342,100,1885,2019-11-27 20:42:02.0,0.0,2.147483647E8,13,48.015
6098,3344,100,355,2019-11-27 20:58:55.0,7.0,6.2,1,12.152
6101,3463,100,1776,2019-11-25 14:44:06.0,68.0,2.9,0,54.799
6101,3463,100,1501,2019-11-25 14:45:14.0,60.0,3.4,2,58.261
6101,3463,100,1466,2019-11-25 14:46:14.0,24.0,2.7,0,18.058
6101,3463,100,1463,2019-11-25 14:46:38.0,61.0,3.2,2,55.82899999999999
6101,3463,100,1457,2019-11-25 14:47:39.0,0.0,2.147483647E8,0,10.065
6101,3463,100,257,2019-11-25 14:47:39.0,0.0,2.147483647E8,0,15.399
6101,3463,100,1436,2019-11-25 14:47:39.0,184.0,1.7,0,87.934
6101,3463,100,1271,2019-11-25 14:50:43.0,0.0,2.147483647E8,0,7.331
6101,3463,100,71,2019-11-25 14:50:43.0,139.0,1.0,0,41.43600000000001
6101,3463,100,236,2019-11-25 14:53:02.0,34.0,3.1,0,29.807
6101,3463,100,1438,2019-11-25 14:53:36.0,65.0,1.6,3,30.636
6101,3463,100,240,2019-11-25 14:54:41.0,149.0,2.7,25,112.627
6101,3464,100,1216,2019-11-25 15:01:39.0,160.0,2.7,1,120.187
6101,3465,100,114,2019-11-25 15:36:25.0,181.0,1.7,36,88.488
6101,3465,100,2293,2019-11-25 15:39:26.0,0.0,2.147483647E8,25,46.29
6101,3465,100,1670,2019-11-25 15:39:26.0,0.0,2.147483647E8,65,76.487
6101,3465,100,1667,2019-11-25 15:39:26.0,0.0,2.147483647E8,7,7.4529999999999985
6101,3465,100,469,2019-11-25 15:39:26.0,0.0,2.147483647E8,89,71.816
6101,3465,100,474,2019-11-25 15:39:26.0,2888.0,0.0,105,77.947
6101,3465,100,633,2019-11-25 16:27:34.0,0.0,2.147483647E8,22,19.075
6101,3465,100,1833,2019-11-25 16:27:34.0,0.0,2.147483647E8,43,41.44
6101,3465,100,1595,2019-11-25 16:27:34.0,0.0,2.147483647E8,56,70.601
6101,3465,100,395,2019-11-25 16:27:34.0,0.0,2.147483647E8,29,54.477
6101,3465,100,400,2019-11-25 16:27:34.0,11.0,29.4,18,89.97200000000002
6101,3465,100,1663,2019-11-25 16:27:45.0,79.0,3.2,4,71.15899999999998
6101,3465,100,1660,2019-11-25 16:29:04.0,99.0,4.1,1,114.997
6101,3465,100,460,2019-11-25 16:30:43.0,38.0,3.5,0,37.26
6101,3465,100,1131,2019-11-25 16:31:21.0,17.0,3.7,0,17.726
6101,3465,100,2326,2019-11-25 16:31:38.0,53.0,2.9,0,43.25100000000001
6101,3465,100,2039,2019-11-25 16:32:31.0,20.0,3.6,0,20.204
6101,3465,100,838,2019-11-25 16:32:51.0,2.0,5.9,0,3.303
6101,3465,100,2290,2019-11-25 16:32:53.0,230.0,2.6,8,170.96900000000005
6101,3466,100,377,2019-11-25 16:39:28.0,0.0,2.147483647E8,2,48.747
6105,4102,100,1457,2019-11-26 16:44:02.0,0.0,2.147483647E8,0,10.065
6105,4103,100,257,2019-11-26 16:54:29.0,85.0,0.6,0,15.399
6116,4240,100,88,2019-11-25 18:06:08.0,2.0,20.4,2,11.349
6118,4393,100,2296,2019-11-26 09:06:41.0,10.0,13.4,1,37.239
6118,4395,100,1098,2019-11-26 09:06:58.0,23.0,4.5,0,29.296
6118,4395,100,1105,2019-11-26 09:07:21.0,25.0,4.3,0,29.959
6118,4395,100,1109,2019-11-26 09:07:46.0,243.0,0.1,0,10.276
6118,4395,100,1261,2019-11-26 09:11:49.0,0.0,2.147483647E8,0,6.871
6118,4395,100,59,2019-11-26 09:11:49.0,0.0,2.147483647E8,0,14.103
6118,4398,100,62,2019-11-26 22:17:21.0,5.0,4.9,0,6.871
6118,4398,100,1197,2019-11-26 22:17:26.0,20.0,5.4,0,30.0
6118,4398,100,1198,2019-11-26 22:17:46.0,18.0,5.6,0,28.39
6118,4400,100,195,2019-11-26 22:19:56.0,0.0,2.147483647E8,0,29.265
6118,4401,100,195,2019-11-26 22:23:09.0,0.0,2.147483647E8,3,29.265
6118,4444,100,1098,2019-11-27 09:08:53.0,20.0,5.2,0,29.296
6118,4444,100,1105,2019-11-27 09:09:13.0,100.0,1.0,0,29.959
6118,4444,100,1109,2019-11-27 09:10:53.0,65.0,0.5,0,10.276
6118,4444,100,1197,2019-11-27 09:11:58.0,0.0,2.147483647E8,0,30.0
6118,4444,100,1198,2019-11-27 09:11:58.0,0.0,2.147483647E8,0,28.39
6118,4445,100,62,2019-11-27 09:12:01.0,0.0,2.147483647E8,0,6.871
6118,4445,100,1308,2019-11-27 09:12:01.0,61.0,4.9,0,83.11
6118,4445,100,108,2019-11-27 09:13:02.0,1.0,23.1,0,6.44
6118,4445,100,1090,2019-11-27 09:13:03.0,55.0,2.2,0,33.68
6118,4445,100,2281,2019-11-27 09:13:58.0,39.0,4.8,0,52.855
6118,4445,100,1845,2019-11-27 09:14:37.0,34.0,5.8,2,55.258
6118,4446,100,62,2019-11-27 20:48:32.0,3.0,8.2,0,6.871
6118,4446,100,1197,2019-11-27 20:48:35.0,43.0,2.5,0,30.0
6118,4446,100,1198,2019-11-27 20:49:18.0,20.0,5.1,0,28.39
6118,4447,100,349,2019-11-27 20:55:08.0,0.0,2.147483647E8,0,182.142
6118,4488,100,2397,2019-11-28 09:13:59.0,33.0,3.0,0,28.39
6118,4488,100,2396,2019-11-28 09:14:32.0,21.0,5.1,0,30.0
6118,4488,100,1308,2019-11-28 09:14:53.0,51.0,5.8,3,83.11
6118,4488,100,108,2019-11-28 09:15:44.0,2.0,11.5,0,6.44
6118,4488,100,2387,2019-11-28 09:15:46.0,69.0,1.7,0,32.814
6118,4488,100,2386,2019-11-28 09:16:55.0,20.0,5.3,0,29.591
6118,4488,100,283,2019-11-28 09:17:15.0,44.0,2.5,0,30.923
6118,4489,100,62,2019-11-28 22:03:50.0,3.0,8.2,0,6.871
6118,4489,100,2308,2019-11-28 22:03:53.0,5.0,7.3,0,10.276
6118,4489,100,2304,2019-11-28 22:03:58.0,16.0,6.7,0,29.959
6118,4489,100,2297,2019-11-28 22:04:14.0,16.0,6.5,0,29.296
6118,4491,100,197,2019-11-28 22:08:11.0,0.0,2.147483647E8,0,97.336
6118,4493,100,347,2019-11-28 22:10:28.0,22.0,7.3,0,44.957
6118,4608,100,445,2019-11-29 14:58:38.0,32.0,4.9,10,44.187
6118,4610,100,1650,2019-11-29 15:23:02.0,127.0,3.1,4,112.19
6118,4610,100,1327,2019-11-29 15:25:09.0,0.0,2.147483647E8,4,35.751
6118,4610,100,127,2019-11-29 15:25:09.0,0.0,2.147483647E8,1,7.282999999999999
6118,4610,100,1182,2019-11-29 15:25:09.0,25.0,13.1,2,91.605
6118,4610,100,2380,2019-11-29 15:25:34.0,91.0,4.5,8,114.068
6118,4610,100,2378,2019-11-29 15:27:05.0,125.0,4.2,8,146.561
6118,4611,100,254,2019-11-29 15:30:13.0,4.0,6.8,0,7.591
6118,4611,100,2341,2019-11-29 15:30:17.0,134.0,3.4,0,128.928
6118,4611,100,1446,2019-11-29 15:32:31.0,46.0,5.4,8,69.89
6118,4611,100,248,2019-11-29 15:33:17.0,91.0,6.9,0,176.013
6118,4640,100,2296,2019-11-30 09:02:35.0,24.0,5.5,1,37.239
6118,4641,100,1105,2019-11-30 09:03:18.0,16.0,6.7,0,29.959
6118,4641,100,1110,2019-11-30 09:03:34.0,1.0,26.9,0,7.484
6118,4650,100,62,2019-11-30 09:07:01.0,0.0,2.147483647E8,0,6.871
6118,4650,100,1308,2019-11-30 09:07:01.0,114.0,2.6,0,83.11
6118,4650,100,108,2019-11-30 09:08:55.0,1.0,23.1,0,6.44
6118,4650,100,1090,2019-11-30 09:08:56.0,36.0,3.3,0,33.68
6118,4650,100,2281,2019-11-30 09:09:32.0,27.0,7.0,0,52.855
6118,4651,100,1187,2019-11-30 21:41:08.0,31.0,3.4,0,29.591
6118,4651,100,1188,2019-11-30 21:41:39.0,18.0,6.5,0,32.814
6118,4651,100,1260,2019-11-30 21:41:57.0,140.0,2.1,0,84.50399999999998
6118,4651,100,59,2019-11-30 21:44:17.0,0.0,2.147483647E8,0,14.103
6120,4692,100,137,2019-11-25 09:45:33.0,0.0,2.147483647E8,0,8.663
6126,4707,100,256,2019-11-27 10:32:18.0,0.0,2.147483647E8,0,6.843
6126,4714,100,130,2019-11-27 10:35:38.0,40.0,3.8,0,42.637
6126,4717,100,134,2019-11-27 10:37:33.0,37.0,3.2,2,33.746
6126,4721,100,1336,2019-11-27 11:09:51.0,0.0,2.147483647E8,2,8.663
6126,4722,100,1331,2019-11-27 11:10:38.0,21.0,7.2,1,42.28100000000001
6126,4722,100,1329,2019-11-27 11:10:59.0,50.0,3.0,0,42.637
6126,4732,100,254,2019-11-27 11:15:32.0,0.0,2.147483647E8,1,7.591
6126,4734,100,246,2019-11-27 11:17:11.0,0.0,2.147483647E8,0,11.504
6126,4741,100,1446,2019-11-27 11:43:17.0,0.0,2.147483647E8,17,69.89
6134,4927,100,195,2019-11-27 12:02:53.0,9.0,11.7,1,29.265
6134,4929,100,1490,2019-11-27 12:05:31.0,0.0,2.147483647E8,0,27.337
6134,4929,100,290,2019-11-27 12:05:31.0,0.0,2.147483647E8,0,6.9860000000000015
